Name	GWP_constr	GWP_op
NUCLEAR	56.630400	0.000000
CCGT	0.000020	0.000000
CCGT_AMMONIA	0.000013	0.000000
COAL_US	0.000000	0.000000
COAL_IGCC	0.000012	0.000000
BIOMASS_TO_POWER	0.000009	0.000000
PV_ROOFTOP	0.000899	0.000000
PV_UTILITY	12264.369395	0.000000
PT_POWER_BLOCK	0.000000	0.000000
ST_POWER_BLOCK	0.000000	0.000000
WIND_ONSHORE	996.560000	0.000000
WIND_OFFSHORE	1374.629906	0.000000
HYDRO_DAM	843.976440	0.000000
HYDRO_RIVER	0.000045	0.000000
TIDAL	0.000000	0.000000
WAVE	0.000000	0.000000
GEOTHERMAL	0.000828	0.000000
IND_COGEN_GAS	0.000039	0.000000
IND_COGEN_WOOD	0.000008	0.000000
IND_COGEN_WASTE	0.000019	0.000000
IND_BOILER_GAS	0.000022	0.000000
IND_BOILER_WOOD	0.000018	0.000000
IND_BOILER_OIL	0.000010	0.000000
IND_BOILER_COAL	13.713680	0.000000
IND_BOILER_WASTE	14.438304	0.000000
IND_DIRECT_ELEC	1.466694	0.000000
DHN_HP_ELEC	399.770450	0.000000
DHN_COGEN_GAS	0.000038	0.000000
DHN_COGEN_WOOD	0.000008	0.000000
DHN_COGEN_WASTE	0.000016	0.000000
DHN_COGEN_WET_BIOMASS	0.000038	0.000000
DHN_COGEN_BIO_HYDROLYSIS	0.000025	0.000000
DHN_BOILER_GAS	0.000003	0.000000
DHN_BOILER_WOOD	0.000006	0.000000
DHN_BOILER_OIL	0.000002	0.000000
DHN_DEEP_GEO	0.000163	0.000000
DHN_SOLAR	0.000040	0.000000
DEC_HP_ELEC	808.823137	0.000000
DEC_THHP_GAS	0.001078	0.000000
DEC_COGEN_GAS	0.000075	0.000000
DEC_COGEN_OIL	0.000058	0.000000
DEC_ADVCOGEN_GAS	0.000047	0.000000
DEC_ADVCOGEN_H2	0.000036	0.000000
DEC_BOILER_GAS	0.000014	0.000000
DEC_BOILER_WOOD	0.000006	0.000000
COAL_STOVE	0.000009	0.000000
DEC_BOILER_OIL	0.000010	0.000000
DEC_SOLAR	0.000801	0.000000
DEC_DIRECT_ELEC	1.303726	0.000000
DEC_THHP_GAS_COLD	269.536341	0.000000
DEC_ELEC_COLD	1451.145605	0.000000
IND_ELEC_COLD	25.569601	0.000000
TRAMWAY_TROLLEY	0.000000	0.000000
BUS_COACH_DIESEL	0.000000	0.000000
BUS_COACH_GASOLINE	0.000000	0.000000
BUS_COACH_HYDIESEL	0.000000	0.000000
BUS_COACH_CNG_STOICH	0.000000	0.000000
BUS_COACH_FC_HYBRIDH2	0.000000	0.000000
TRAIN_PUB	0.000000	0.000000
MOTORCYCLE	0.000000	0.000000
CAR_GASOLINE	0.000000	0.000000
CAR_DIESEL	0.000000	0.000000
CAR_NG	0.000000	0.000000
CAR_METHANOL	0.000000	0.000000
CAR_HEV	0.000000	0.000000
CAR_PHEV	0.000000	0.000000
MOTORCYCLE_ELECTRIC	0.000000	0.000000
CAR_BEV	0.000000	0.000000
CAR_FUEL_CELL	0.000000	0.000000
TRAIN_FREIGHT	0.000000	0.000000
BOAT_FREIGHT_DIESEL	0.000000	0.000000
BOAT_FREIGHT_NG	0.000000	0.000000
BOAT_FREIGHT_METHANOL	0.000000	0.000000
TRUCK_DIESEL	0.000000	0.000000
TRUCK_GASOLINE	0.000000	0.000000
TRUCK_METHANOL	0.000000	0.000000
TRUCK_FUEL_CELL	0.000000	0.000000
TRUCK_ELEC	0.000000	0.000000
TRUCK_NG	0.000000	0.000000
HABER_BOSCH	0.000000	0.000000
OIL_TO_HVC	0.000000	0.000000
GAS_TO_HVC	0.000000	0.000000
BIOMASS_TO_HVC	0.000000	0.000000
METHANOL_TO_HVC	0.000000	0.000000
SYN_METHANOLATION	0.000000	0.000000
METHANE_TO_METHANOL	0.000000	0.000000
BIOMASS_TO_METHANOL	0.000000	0.000000
DAM_STORAGE	0.000000	0.000000
PHS	15.160590	0.000000
BATT_LI	0.000084	0.000000
BEV_BATT	0.000000	0.000000
PHEV_BATT	0.000000	0.000000
TS_DEC_DIRECT_ELEC	0.000000	0.000000
TS_DEC_HP_ELEC	0.000000	0.000000
TS_DEC_THHP_GAS	0.000000	0.000000
TS_DEC_COGEN_GAS	0.000000	0.000000
TS_DEC_COGEN_OIL	0.000000	0.000000
TS_DEC_ADVCOGEN_GAS	0.000000	0.000000
TS_DEC_ADVCOGEN_H2	0.000000	0.000000
TS_DEC_BOILER_GAS	0.000000	0.000000
TS_DEC_BOILER_WOOD	0.000000	0.000000
TS_COAL_STOVE	0.000000	0.000000
TS_DEC_BOILER_OIL	0.000000	0.000000
TS_DHN_DAILY	0.000000	0.000000
TS_DHN_SEASONAL	0.000000	0.000000
TS_HIGH_TEMP	0.000000	0.000000
GAS_STORAGE	0.000000	0.000000
H2_STORAGE	0.000000	0.000000
DIESEL_STORAGE	0.000000	0.000000
GASOLINE_STORAGE	0.000000	0.000000
LFO_STORAGE	0.000000	0.000000
AMMONIA_STORAGE	0.000000	0.000000
METHANOL_STORAGE	0.000000	0.000000
CO2_STORAGE	0.000000	0.000000
PT_STORAGE	0.000000	0.000000
ST_STORAGE	0.000000	0.000000
TS_COLD	0.000000	0.000000
CAES	0.000000	0.000000
EFFICIENCY	0.000000	0.000000
DHN	0.000000	0.000000
GRID	0.000000	0.000000
