{PERIODS};ELECTRICITY_VAR;HEAT_LOW_T_SH;SPACE_COOLING;MOBILITY_PASSENGER;MOBILITY_FREIGHT;PV_ROOFTOP;PV_UTILITY;WIND_ONSHORE;WIND_OFFSHORE;HYDRO_DAM;HYDRO_RIVER;TIDAL;DHN_SOLAR;DEC_SOLAR;PT_COLLECTOR;ST_COLLECTOR
1;6.99E-05;0.000631958836984179;5.37E-05;5.87E-06;0.000114155;0;0;1.33708666998281;0.905423107796342;0.287811768239804;0.287811768239804;0.039802421;0;0;0;0
2;5.93E-05;0.000670135839769984;0;2.35E-06;0.000114155;0;0;1.29053094903397;0.900565278215506;0.287811768239804;0.287811768239804;0.175270029;0;0;0;0
3;4.82E-05;0.000707625355730188;0;1.17E-06;0.000114155;0;0;1.31832685531331;0.892399367498518;0.287811768239804;0.287811768239804;0.22268354;0;0;0;0
4;3.98E-05;0.000738940917736692;0;1.41E-05;0.000114155;0;0;1.43668201171643;0.884572348115292;0.287811768239804;0.287811768239804;0.140092053;0;0;0;0
5;3.53E-05;0.000757014301863694;0;3.76E-05;0.000114155;0;0;1.53448746375546;0.881755299384483;0.287811768239804;0.287811768239804;0.041146591;0;0;0;0
6;3.43E-05;0.000762562535386195;0;9.40E-05;0.000114155;0;0;1.60789720130916;0.881510712287515;0.287811768239804;0.287811768239804;0.00135751;0;0;0;0
7;3.73E-05;0.000684887266071485;0;0.0001821;0.000114155;0.367525500483624;0.367525500483624;1.41468268889022;0.882144594706946;0.287811768239804;0.287811768239804;0.005310054;0;0;0;0
8;4.08E-05;0.000168278513545621;6.66E-05;0.000158603;0.000114155;0.893728677366366;0.893728677366366;2.19107451832586;0.88888154073168;0.287811768239804;0.287811768239804;0.068734206;0.00170630317463552;0.00170630317463552;0.00170630317463552;0.00170630317463552
9;4.33E-05;0;9.38E-05;0.000146855;0.000114155;1.286922625503;1.286922625503;2.41506435823487;0.900531365854699;0.287811768239804;0.287811768239804;0.098975393;0.028269718298699;0.028269718298699;0.028269718298699;0.028269718298699
10;5.53E-05;0;0.000121474232392633;0.000164478;0.000114155;1.54419047584151;1.54419047584151;2.37192032898736;0.907990923900979;0.287811768239804;0.287811768239804;0.064153486;0.0991177805559705;0.0991177805559705;0.0991177805559705;0.0991177805559705
