Category;Subcategory;parameter name;HOUSEHOLDS;SERVICES;INDUSTRY;TRANSPORTATION;Units
Electricity;baseload;ELECTRICITY;15383.3;22625.3;60810.7;0;[GWh]
Electricity;variable;ELECTRICITY_VAR;4734.5;6963.2;18713.6;0;[GWh]
Heat;high temperature;HEAT_HIGH_T;0;0;45005.6;0;[GWh]
Heat;space heating;HEAT_LOW_T_SH;23188;6856.8;37150.8;0;[GWh]
Heat;hot water;HEAT_LOW_T_HW;1932.4;0;18575.4;0;[GWh]
Cold;process cooling;PROCESS_COOLING;0;0;472.3;0;[GWh]
Cold;space cooling;SPACE_COOLING;4345.2;4297.6;0;0;[GWh]
Mobility;passenger;MOBILITY_PASSENGER;0;0;0;591397.7;[Mpkm]
Mobility;freight;MOBILITY_FREIGHT;0;0;0;166231.1;[Mtkm]
Non energy;Non energy;NON_ENERGY;0;0;38119.1;0;[GWh]
