Td 	 Time	ELECTRICITY	GASOLINE	DIESEL	BIOETHANOL	BIODIESEL	LFO	GAS	GAS_RE	WOOD	WET_BIOMASS	COAL	URANIUM	WASTE	H2	H2_RE	AMMONIA	METHANOL	AMMONIA_RE	METHANOL_RE	ELEC_EXPORT	CO2_EMISSIONS	RES_WIND	RES_SOLAR	RES_HYDRO	RES_GEO	CO2_ATM	CO2_INDUSTRY	CO2_CAPTURED	PT_HEAT	ST_HEAT	NUCLEAR	CCGT	CCGT_AMMONIA	COAL_US	COAL_IGCC	PV_ROOFTOP	PV_UTILITY	PT_POWER_BLOCK	ST_POWER_BLOCK	WIND_ONSHORE	WIND_OFFSHORE	HYDRO_DAM	HYDRO_RIVER	TIDAL	WAVE	GEOTHERMAL	IND_COGEN_GAS	IND_COGEN_WOOD	IND_COGEN_WASTE	IND_BOILER_GAS	IND_BOILER_WOOD	IND_BOILER_OIL	IND_BOILER_COAL	IND_BOILER_WASTE	IND_DIRECT_ELEC	DHN_HP_ELEC	DHN_COGEN_GAS	DHN_COGEN_WOOD	DHN_COGEN_WASTE	DHN_COGEN_WET_BIOMASS	DHN_COGEN_BIO_HYDROLYSIS	DHN_BOILER_GAS	DHN_BOILER_WOOD	DHN_BOILER_OIL	DHN_DEEP_GEO	DHN_SOLAR	DEC_HP_ELEC	DEC_THHP_GAS	DEC_COGEN_GAS	DEC_COGEN_OIL	DEC_ADVCOGEN_GAS	DEC_ADVCOGEN_H2	DEC_BOILER_GAS	DEC_BOILER_WOOD	COAL_STOVE	DEC_BOILER_OIL	DEC_SOLAR	DEC_DIRECT_ELEC	DEC_THHP_GAS_COLD	DEC_ELEC_COLD	IND_ELEC_COLD	TRAMWAY_TROLLEY	BUS_COACH_DIESEL	BUS_COACH_GASOLINE	BUS_COACH_HYDIESEL	BUS_COACH_CNG_STOICH	BUS_COACH_FC_HYBRIDH2	TRAIN_PUB	MOTORCYCLE	CAR_GASOLINE	CAR_DIESEL	CAR_NG	CAR_METHANOL	CAR_HEV	CAR_PHEV	MOTORCYCLE_ELECTRIC	CAR_BEV	CAR_FUEL_CELL	TRAIN_FREIGHT	BOAT_FREIGHT_DIESEL	BOAT_FREIGHT_NG	BOAT_FREIGHT_METHANOL	TRUCK_DIESEL	TRUCK_GASOLINE	TRUCK_METHANOL	TRUCK_FUEL_CELL	TRUCK_ELEC	TRUCK_NG	HABER_BOSCH	OIL_TO_HVC	GAS_TO_HVC	BIOMASS_TO_HVC	METHANOL_TO_HVC	METHANE_TO_METHANOL	BIOMASS_TO_METHANOL	EFFICIENCY	DHN	GRID	HVAC_LINE	PT_COLLECTOR	ST_COLLECTOR	H2_ELECTROLYSIS	SMR	H2_BIOMASS	GASIFICATION_SNG	SYN_METHANATION	BIOMETHANATION	BIO_HYDROLYSIS	PYROLYSIS_TO_LFO	PYROLYSIS_TO_FUELS	ATM_CCS	INDUSTRY_CCS	SYN_METHANOLATION	AMMONIA_TO_H2	DAM_STORAGE_Pin	DAM_STORAGE_Pout	PHS_Pin	PHS_Pout	BATT_LI_Pin	BATT_LI_Pout	BEV_BATT_Pin	BEV_BATT_Pout	PHEV_BATT_Pin	PHEV_BATT_Pout	TS_DEC_DIRECT_ELEC_Pin	TS_DEC_DIRECT_ELEC_Pout	TS_DEC_HP_ELEC_Pin	TS_DEC_HP_ELEC_Pout	TS_DEC_THHP_GAS_Pin	TS_DEC_THHP_GAS_Pout	TS_DEC_COGEN_GAS_Pin	TS_DEC_COGEN_GAS_Pout	TS_DEC_COGEN_OIL_Pin	TS_DEC_COGEN_OIL_Pout	TS_DEC_ADVCOGEN_GAS_Pin	TS_DEC_ADVCOGEN_GAS_Pout	TS_DEC_ADVCOGEN_H2_Pin	TS_DEC_ADVCOGEN_H2_Pout	TS_DEC_BOILER_GAS_Pin	TS_DEC_BOILER_GAS_Pout	TS_DEC_BOILER_WOOD_Pin	TS_DEC_BOILER_WOOD_Pout	TS_COAL_STOVE_Pin	TS_COAL_STOVE_Pout	TS_DEC_BOILER_OIL_Pin	TS_DEC_BOILER_OIL_Pout	TS_DHN_DAILY_Pin	TS_DHN_DAILY_Pout	TS_DHN_SEASONAL_Pin	TS_DHN_SEASONAL_Pout	TS_HIGH_TEMP_Pin	TS_HIGH_TEMP_Pout	GAS_STORAGE_Pin	GAS_STORAGE_Pout	H2_STORAGE_Pin	H2_STORAGE_Pout	DIESEL_STORAGE_Pin	DIESEL_STORAGE_Pout	GASOLINE_STORAGE_Pin	GASOLINE_STORAGE_Pout	LFO_STORAGE_Pin	LFO_STORAGE_Pout	AMMONIA_STORAGE_Pin	AMMONIA_STORAGE_Pout	METHANOL_STORAGE_Pin	METHANOL_STORAGE_Pout	CO2_STORAGE_Pin	CO2_STORAGE_Pout	PT_STORAGE_Pin	PT_STORAGE_Pout	ST_STORAGE_Pin	ST_STORAGE_Pout	TS_COLD_Pin	TS_COLD_Pout	CAES_Pin	CAES_Pout	END_USE	
 2 	 12																																															0.399999			0.000001			2.666219		0.000000																																																							-0.044084												-0.000000												-0.000000																																					-0.000007	0.000007																									-3.022135	
 2 	 13																																															0.400000			0.054085			2.612134		0.000000																																																							-0.044084												-0.000000												-0.000000																																					-0.000007	0.000007																									-3.022135	
 2 	 14																																															0.399999			0.000002			2.666217		0.000000																																																							-0.044084												-0.000000												-0.000000																																					-0.000007	0.000007																									-3.022135	
 2 	 15																																															0.389060			0.000001			2.677158		0.000000																																																							-0.044084												-0.000000												-0.000000																																					-0.000007	0.000007																									-3.022135	
 2 	 16																																															0.376350			0.000001			2.689868		0.000000																																																							-0.044084												-0.000000												-0.000000																																					-0.000007	0.000007																									-3.022135	
 2 	 17																																															0.376564			0.000001			2.689653		0.000000																																																							-0.044084												-0.000000												-0.000000																																					-0.000007	0.000007																									-3.022135	
 2 	 18																																															0.400000			0.184423			2.481796		0.000000																																																							-0.044084												-0.000000												-0.000000																																					-0.000007	0.000007																									-3.022135	
 2 	 19																																															0.399999			0.000004			2.666215		0.000000																																																							-0.044084												-0.000000												-0.000000																																					-0.000007	0.000007																									-3.022135	
 2 	 20																																															0.358902			0.000001			2.707316		0.000000																																																							-0.044084												-0.000000												-0.000000																																					-0.000007	0.000007																									-3.022135	
 2 	 21																																															0.230473			0.000001			2.835745		0.000000																																																							-0.044084												-0.000000												-0.000000																																					-0.000007	0.000007																									-3.022135	
 2 	 22																																															0.222954			0.000001			2.843264		0.000000																																																							-0.044084												-0.000000												-0.000000																																					-0.000007	0.000007																									-3.022135	
 2 	 23																																															0.241609			0.000001			2.824609		0.000000																																																							-0.044084												-0.000000												-0.000000																																					-0.000007	0.000007																									-3.022135	
 2 	 24																																															0.269682			0.000001			2.796536		0.000000																																																							-0.044084												-0.000000												-0.000000																																					-0.000008	0.000007																									-3.022135	
 3 	 1																																															0.400000			0.395803			2.270417		0.000000																																																							-0.044084												-0.000000												-0.000000																																					-0.000008	0.000007																									-3.022135	
 3 	 2																																															0.400000			0.395803			2.270416		0.000000																																																							-0.044084												-0.000000												-0.000000																																					-0.000008	0.000007																									-3.022135	
 3 	 3																																															0.400000			0.395803			2.270416		0.000000																																																							-0.044084												-0.000000												-0.000000																																					-0.000007	0.000007																									-3.022135	
 3 	 4																																															0.400000			0.395803			2.270416		0.000000																																																							-0.044084												-0.000000												-0.000000																																					-0.000007	0.000007																									-3.022135	
 3 	 5																																															0.400000			0.395803			2.270416		0.000000																																																							-0.044084												-0.000000												-0.000000																																					-0.000007	0.000007																									-3.022135	
 3 	 6																																															0.400000			0.395803			2.270416		0.000000																																																							-0.044084												-0.000000												-0.000000																																					-0.000007	0.000007																									-3.022135	
 3 	 7																																															0.400000			0.395803			2.270416		0.000000																																																							-0.044084												-0.000000												-0.000000																																					-0.000007	0.000007																									-3.022135	
 3 	 8																																															0.400000			0.395803			2.270416		0.000000																																																							-0.044084												-0.000000												-0.000000																																					-0.000007	0.000007																									-3.022135	
 3 	 9																																															0.400000			0.395803			2.270416		0.000000																																																							-0.044084												-0.000000												-0.000000																																					-0.000007	0.000007																									-3.022135	
 3 	 10																																															0.400000			0.395803			2.270416		0.000000																																																							-0.044084												-0.000000												-0.000000																																					-0.000007	0.000007																									-3.022135	
 3 	 11																																															0.399999			0.395802			2.270417		0.000000																																																							-0.044084												-0.000000												-0.000000																																					-0.000007	0.000007																									-3.022135	
 3 	 12																																															0.399999			0.395802			2.270417		0.000000																																																							-0.044084												-0.000000												-0.000000																																					-0.000007	0.000007																									-3.022135	
 3 	 13																																															0.399999			0.395802			2.270417		0.000000																																																							-0.044084												-0.000000												-0.000000																																					-0.000007	0.000007																									-3.022135	
 3 	 14																																															0.399999			0.395801			2.270418		0.000000																																																							-0.044084												-0.000000												-0.000000																																					-0.000007	0.000007																									-3.022135	
 3 	 15																																															0.399999			0.395800			2.270419		0.000000																																																							-0.044084												-0.000000												-0.000000																																					-0.000007	0.000007																									-3.022135	
 3 	 16																																															0.399999			0.395794			2.270425		0.000000																																																							-0.044084												-0.000000												-0.000000																																					-0.000007	0.000007																									-3.022135	
 3 	 17																																															0.399999			0.395762			2.270457		0.000000																																																							-0.044084												-0.000000												-0.000000																																					-0.000007	0.000007																									-3.022135	
 3 	 18																																															0.399999			0.395735			2.270485		0.000000																																																							-0.044084												-0.000000												-0.000000																																					-0.000007	0.000007																									-3.022135	
 3 	 19																																															0.399998			0.395762			2.270458		0.000000																																																							-0.044084												-0.000000												-0.000000																																					-0.000007	0.000007																									-3.022135	
 3 	 20																																															0.399996			0.000015			2.666207		0.000000																																																							-0.044084												-0.000000												-0.000000																																					-0.000007	0.000007																									-3.022135	
 3 	 21																																															0.312410			0.000006			2.753802		0.000000																																																							-0.044084												-0.000000												-0.000000																																					-0.000007	0.000007																									-3.022135	
 3 	 22																																															0.262574			0.000006			2.803638		0.000000																																																							-0.044084												-0.000000												-0.000000																																					-0.000007	0.000007																									-3.022135	
 3 	 23																																															0.266335			0.000006			2.799876		0.000000																																																							-0.044084												-0.000000												-0.000000																																					-0.000007	0.000008																									-3.022135	
 3 	 24																																															0.274544			0.000006			2.791667		0.000000																																																							-0.044084												-0.000000												-0.000000																																					-0.000007	0.000008																									-3.022135	
 4 	 1																																															0.400000			0.395803			2.270417		0.000000																																																							-0.044084												-0.000000												-0.000000																																					-0.000008	0.000007																									-3.022135	
 4 	 2																																															0.400000			0.395803			2.270416		0.000000																																																							-0.044084												-0.000000												-0.000000																																					-0.000008	0.000007																									-3.022135	
 4 	 3																																															0.400000			0.395803			2.270416		0.000000																																																							-0.044084												-0.000000												-0.000000																																					-0.000007	0.000007																									-3.022135	
 4 	 4																																															0.400000			0.395803			2.270416		0.000000																																																							-0.044084												-0.000000												-0.000000																																					-0.000007	0.000007																									-3.022135	
 4 	 5																																															0.400000			0.395803			2.270416		0.000000																																																							-0.044084												-0.000000												-0.000000																																					-0.000007	0.000007																									-3.022135	
 4 	 6																																															0.400000			0.395803			2.270416		0.000000																																																							-0.044084												-0.000000												-0.000000																																					-0.000007	0.000007																									-3.022135	
 4 	 7																																															0.400000			0.395803			2.270416		0.000000																																																							-0.044084												-0.000000												-0.000000																																					-0.000007	0.000007																									-3.022135	
 4 	 8																																															0.400000			0.395803			2.270416		0.000000																																																							-0.044084												-0.000000												-0.000000																																					-0.000007	0.000007																									-3.022135	
 4 	 9																																															0.399999			0.395803			2.270416		0.000000																																																							-0.044084												-0.000000												-0.000000																																					-0.000007	0.000007																									-3.022135	
 4 	 10																																															0.400000			0.395803			2.270416		0.000000																																																							-0.044084												-0.000000												-0.000000																																					-0.000007	0.000007																									-3.022135	
 4 	 11																																															0.399999			0.395803			2.270416		0.000000																																																							-0.044084												-0.000000												-0.000000																																					-0.000007	0.000007																									-3.022135	
 4 	 12																																															0.399999			0.395802			2.270417		0.000000																																																							-0.044084												-0.000000												-0.000000																																					-0.000007	0.000007																									-3.022135	
 4 	 13																																															0.399999			0.395802			2.270417		0.000000																																																							-0.044084												-0.000000												-0.000000																																					-0.000007	0.000007																									-3.022135	
 4 	 14																																															0.399999			0.395802			2.270417		0.000000																																																							-0.044084												-0.000000												-0.000000																																					-0.000007	0.000007																									-3.022135	
 4 	 15																																															0.399999			0.395801			2.270418		0.000000																																																							-0.044084												-0.000000												-0.000000																																					-0.000007	0.000007																									-3.022135	
 4 	 16																																															0.399999			0.395800			2.270420		0.000000																																																							-0.044084												-0.000000												-0.000000																																					-0.000007	0.000007																									-3.022135	
 4 	 17																																															0.399999			0.395799			2.270420		0.000000																																																							-0.044084												-0.000000												-0.000000																																					-0.000007	0.000007																									-3.022135	
 4 	 18																																															0.399999			0.395800			2.270419		0.000000																																																							-0.044084												-0.000000												-0.000000																																					-0.000007	0.000007																									-3.022135	
 4 	 19																																															0.399999			0.395799			2.270421		0.000000																																																							-0.044084												-0.000000												-0.000000																																					-0.000007	0.000007																									-3.022135	
 4 	 20																																															0.399999			0.395796			2.270423		0.000000																																																							-0.044084												-0.000000												-0.000000																																					-0.000007	0.000007																									-3.022135	
 4 	 21																																															0.399998			0.395791			2.270429		0.000000																																																							-0.044084												-0.000000												-0.000000																																					-0.000007	0.000007																									-3.022135	
 4 	 22																																															0.399997			0.395757			2.270464		0.000000																																																							-0.044084												-0.000000												-0.000000																																					-0.000007	0.000007																									-3.022135	
 4 	 23																																															0.399995			0.000017			2.666206		0.000000																																																							-0.044084												-0.000000												-0.000000																																					-0.000007	0.000008																									-3.022135	
 4 	 24																																															0.306510			0.000007			2.759700		0.000000																																																							-0.044084												-0.000000												-0.000000																																					-0.000007	0.000008																									-3.022135	
 5 	 1																																															0.399964			0.000002			2.666252		0.000000																																																							-0.044084												-0.000000												-0.000000																																					-0.000007	0.000007																									-3.022135	
 5 	 2																																															0.287627			0.000001			2.778591		0.000000																																																							-0.044084												-0.000000												-0.000000																																					-0.000007	0.000007																									-3.022135	
 5 	 3																																															0.284476			0.000001			2.781742		0.000000																																																							-0.044084												-0.000000												-0.000000																																					-0.000007	0.000007																									-3.022135	
 5 	 4																																															0.258095			0.000001			2.808124		0.000000																																																							-0.044084												-0.000000												-0.000000																																					-0.000008	0.000007																									-3.022135	
 5 	 5																																															0.222150			0.000001			2.844069		0.000000																																																							-0.044084												-0.000000												-0.000000																																					-0.000008	0.000007																									-3.022135	
 5 	 6																																															0.167798			0.000001			2.898429		0.000000																																																							-0.044084												-0.000000												-0.000000																																					-0.000013	0.000003																									-3.022135	
 5 	 7																																															0.000004			0.166193			2.900000		0.000000																																																							-0.044084												-0.000000												-0.000000																																					-0.000000	0.000021																									-3.022135	
 5 	 8																																															0.400000			0.217021			2.449201		0.000000																																																							-0.044084												-0.000000												-0.000000																																					-0.000009	0.000005																									-3.022135	
 5 	 9																																															0.400000			0.282191			2.384030		0.000000																																																							-0.044084												-0.000000												-0.000000																																					-0.000008	0.000006																									-3.022135	
 5 	 10																																															0.400000			0.184434			2.481786		0.000000																																																							-0.044084												-0.000000												-0.000000																																					-0.000008	0.000007																									-3.022135	
 5 	 11																																															0.400000			0.003508			2.662711		0.000000																																																							-0.044084												-0.000000												-0.000000																																					-0.000007	0.000007																									-3.022135	
 5 	 12																																															0.399999			0.000001			2.666219		0.000000																																																							-0.044084												-0.000000												-0.000000																																					-0.000007	0.000007																									-3.022135	
 5 	 13																																															0.400000			0.054091			2.612128		0.000000																																																							-0.044084												-0.000000												-0.000000																																					-0.000007	0.000007																									-3.022135	
 5 	 14																																															0.399999			0.000002			2.666217		0.000000																																																							-0.044084												-0.000000												-0.000000																																					-0.000007	0.000007																									-3.022135	
 5 	 15																																															0.388154			0.000001			2.678064		0.000000																																																							-0.044084												-0.000000												-0.000000																																					-0.000007	0.000007																									-3.022135	
 5 	 16																																															0.375366			0.000001			2.690852		0.000000																																																							-0.044084												-0.000000												-0.000000																																					-0.000007	0.000007																									-3.022135	
 5 	 17																																															0.376003			0.000001			2.690215		0.000000																																																							-0.044084												-0.000000												-0.000000																																					-0.000007	0.000007																									-3.022135	
 5 	 18																																															0.399999			0.000002			2.666216		0.000000																																																							-0.044084												-0.000000												-0.000000																																					-0.000007	0.000007																									-3.022135	
 5 	 19																																															0.323400			0.000001			2.742817		0.000000																																																							-0.044084												-0.000000												-0.000000																																					-0.000007	0.000008																									-3.022135	
 5 	 20																																															0.167750			0.000001			2.898472		0.000000																																																							-0.044084												-0.000000												-0.000000																																					-0.000009	0.000005																									-3.022135	
 5 	 21																																															0.189789			0.000001			2.876427		0.000000																																																							-0.044084												-0.000000												-0.000000																																					-0.000006	0.000008																									-3.022135	
 5 	 22																																															0.221188			0.000001			2.845029		0.000000																																																							-0.044084												-0.000000												-0.000000																																					-0.000007	0.000008																									-3.022135	
 5 	 23																																															0.241126			0.000001			2.825092		0.000000																																																							-0.044084												-0.000000												-0.000000																																					-0.000007	0.000007																									-3.022135	
 5 	 24																																															0.269331			0.000001			2.796888		0.000000																																																							-0.044084												-0.000000												-0.000000																																					-0.000007	0.000007																									-3.022135	
 6 	 1																																															0.400000			0.395804			2.270416		0.000000																																																							-0.044084												-0.000000												-0.000000																																					-0.000008	0.000007																									-3.022135	
 6 	 2																																															0.400000			0.395804			2.270416		0.000000																																																							-0.044084												-0.000000												-0.000000																																					-0.000008	0.000007																									-3.022135	
 6 	 3																																															0.400000			0.395803			2.270416		0.000000																																																							-0.044084												-0.000000												-0.000000																																					-0.000007	0.000007																									-3.022135	
 6 	 4																																															0.400000			0.395803			2.270416		0.000000																																																							-0.044084												-0.000000												-0.000000																																					-0.000007	0.000007																									-3.022135	
 6 	 5																																															0.400000			0.395803			2.270416		0.000000																																																							-0.044084												-0.000000												-0.000000																																					-0.000007	0.000007																									-3.022135	
 6 	 6																																															0.400000			0.395803			2.270415		0.000000																																																							-0.044084												-0.000000												-0.000000																																					-0.000007	0.000007																									-3.022135	
