Td 	 Time	ELECTRICITY	GASOLINE	DIESEL	BIOETHANOL	BIODIESEL	LFO	GAS	GAS_RE	WOOD	WET_BIOMASS	COAL	URANIUM	WASTE	H2	H2_RE	AMMONIA	METHANOL	AMMONIA_RE	METHANOL_RE	ELEC_EXPORT	CO2_EMISSIONS	RES_WIND	RES_SOLAR	RES_HYDRO	RES_GEO	CO2_ATM	CO2_INDUSTRY	CO2_CAPTURED	PT_HEAT	ST_HEAT	NUCLEAR	CCGT	CCGT_AMMONIA	COAL_US	COAL_IGCC	BIOMASS_TO_POWER	PV_ROOFTOP	PV_UTILITY	PT_POWER_BLOCK	ST_POWER_BLOCK	WIND_ONSHORE	WIND_OFFSHORE	HYDRO_DAM	HYDRO_RIVER	TIDAL	WAVE	GEOTHERMAL	IND_COGEN_GAS	IND_COGEN_WOOD	IND_COGEN_WASTE	IND_BOILER_GAS	IND_BOILER_WOOD	IND_BOILER_OIL	IND_BOILER_COAL	IND_BOILER_WASTE	IND_DIRECT_ELEC	DHN_HP_ELEC	DHN_COGEN_GAS	DHN_COGEN_WOOD	DHN_COGEN_WASTE	DHN_COGEN_WET_BIOMASS	DHN_COGEN_BIO_HYDROLYSIS	DHN_BOILER_GAS	DHN_BOILER_WOOD	DHN_BOILER_OIL	DHN_DEEP_GEO	DHN_SOLAR	DEC_HP_ELEC	DEC_THHP_GAS	DEC_COGEN_GAS	DEC_COGEN_OIL	DEC_ADVCOGEN_GAS	DEC_ADVCOGEN_H2	DEC_BOILER_GAS	DEC_BOILER_WOOD	COAL_STOVE	DEC_BOILER_OIL	DEC_SOLAR	DEC_DIRECT_ELEC	DEC_THHP_GAS_COLD	DEC_ELEC_COLD	IND_ELEC_COLD	TRAMWAY_TROLLEY	BUS_COACH_DIESEL	BUS_COACH_GASOLINE	BUS_COACH_HYDIESEL	BUS_COACH_CNG_STOICH	BUS_COACH_FC_HYBRIDH2	TRAIN_PUB	MOTORCYCLE	CAR_GASOLINE	CAR_DIESEL	CAR_NG	CAR_METHANOL	CAR_HEV	CAR_PHEV	MOTORCYCLE_ELECTRIC	CAR_BEV	CAR_FUEL_CELL	TRAIN_FREIGHT	BOAT_FREIGHT_DIESEL	BOAT_FREIGHT_NG	BOAT_FREIGHT_METHANOL	TRUCK_DIESEL	TRUCK_GASOLINE	TRUCK_METHANOL	TRUCK_FUEL_CELL	TRUCK_ELEC	TRUCK_NG	HABER_BOSCH	OIL_TO_HVC	GAS_TO_HVC	BIOMASS_TO_HVC	METHANOL_TO_HVC	SYN_METHANOLATION	METHANE_TO_METHANOL	BIOMASS_TO_METHANOL	EFFICIENCY	DHN	GRID	HVAC_LINE	PT_COLLECTOR	ST_COLLECTOR	H2_ELECTROLYSIS	SMR	H2_BIOMASS	GASIFICATION_SNG	SYN_METHANATION	BIOMETHANATION	BIO_HYDROLYSIS	PYROLYSIS_TO_LFO	PYROLYSIS_TO_FUELS	ATM_CCS	INDUSTRY_CCS	AMMONIA_TO_H2	DAM_STORAGE_Pin	DAM_STORAGE_Pout	PHS_Pin	PHS_Pout	BATT_LI_Pin	BATT_LI_Pout	BEV_BATT_Pin	BEV_BATT_Pout	PHEV_BATT_Pin	PHEV_BATT_Pout	TS_DEC_DIRECT_ELEC_Pin	TS_DEC_DIRECT_ELEC_Pout	TS_DEC_HP_ELEC_Pin	TS_DEC_HP_ELEC_Pout	TS_DEC_THHP_GAS_Pin	TS_DEC_THHP_GAS_Pout	TS_DEC_COGEN_GAS_Pin	TS_DEC_COGEN_GAS_Pout	TS_DEC_COGEN_OIL_Pin	TS_DEC_COGEN_OIL_Pout	TS_DEC_ADVCOGEN_GAS_Pin	TS_DEC_ADVCOGEN_GAS_Pout	TS_DEC_ADVCOGEN_H2_Pin	TS_DEC_ADVCOGEN_H2_Pout	TS_DEC_BOILER_GAS_Pin	TS_DEC_BOILER_GAS_Pout	TS_DEC_BOILER_WOOD_Pin	TS_DEC_BOILER_WOOD_Pout	TS_COAL_STOVE_Pin	TS_COAL_STOVE_Pout	TS_DEC_BOILER_OIL_Pin	TS_DEC_BOILER_OIL_Pout	TS_DHN_DAILY_Pin	TS_DHN_DAILY_Pout	TS_DHN_SEASONAL_Pin	TS_DHN_SEASONAL_Pout	TS_HIGH_TEMP_Pin	TS_HIGH_TEMP_Pout	GAS_STORAGE_Pin	GAS_STORAGE_Pout	H2_STORAGE_Pin	H2_STORAGE_Pout	DIESEL_STORAGE_Pin	DIESEL_STORAGE_Pout	GASOLINE_STORAGE_Pin	GASOLINE_STORAGE_Pout	LFO_STORAGE_Pin	LFO_STORAGE_Pout	AMMONIA_STORAGE_Pin	AMMONIA_STORAGE_Pout	METHANOL_STORAGE_Pin	METHANOL_STORAGE_Pout	CO2_STORAGE_Pin	CO2_STORAGE_Pout	PT_STORAGE_Pin	PT_STORAGE_Pout	ST_STORAGE_Pin	ST_STORAGE_Pout	TS_COLD_Pin	TS_COLD_Pout	CAES_Pin	CAES_Pout	END_USE	
 1 	 1		0.072363		0.000004																																																																																							-0.076398					0.000000																																																																																				-0.009185	0.013216																	0.000000	
 1 	 2		0.032272		0.000004																																																																																							-0.030585					0.000000																																																																																				-0.012310	0.010620																	0.000000	
 1 	 3		0.021597		0.000004																																																																																							-0.015228					0.000000																																																																																				-0.015160	0.008787																	0.000000	
 1 	 4		0.178912		0.000004																																																																																							-0.183513					0.000000																																																																																				-0.009140	0.013736																	0.000000	
 1 	 5		0.486382		0.000004																																																																																							-0.489367					0.000000																																																																																				-0.010113	0.013094																	0.000000	
 1 	 6		1.222054		0.000004																																																																																							-1.223417					0.000000																																																																																				-0.011110	0.012469																	0.000000	
 1 	 7		2.369136		0.000004																																																																																							-2.370045					0.000000																																																																																				-0.011278	0.012184																	0.000000	
 1 	 8		2.063557		0.000004																																																																																							-2.064230					0.000000																																																																																				-0.011460	0.012130																	0.000000	
 1 	 9		1.910719		0.000004																																																																																							-1.911329					0.000000																																																																																				-0.011504	0.012110																	0.000000	
 1 	 10		2.140190		0.000004																																																																																							-2.140694					0.000000																																																																																				-0.011533	0.012033																	0.000000	
 1 	 11		2.446171		0.000004																																																																																							-2.446496					0.000000																																																																																				-0.011626	0.011947																	0.000000	
 1 	 12		2.690971		0.000004																																																																																							-2.691153					0.000000																																																																																				-0.011702	0.011881																	0.000000	
 1 	 13		2.446299		0.000004																																																																																							-2.446496					0.000000																																																																																				-0.011697	0.011890																	0.000000	
 1 	 14		2.476949		0.000004																																																																																							-2.477081					0.000000																																																																																				-0.011731	0.011859																	0.000000	
 1 	 15		2.782918		0.000004																																																																																							-2.782897					0.000000																																																																																				-0.011810	0.011785																	0.000000	
 1 	 16		2.905362		0.000004																																																																																							-2.905225					0.000000																																																																																				-0.011869	0.011728																	0.000000	
 1 	 17		2.905469		0.000004																																																																																							-2.905225					0.000000																																																																																				-0.011919	0.011672																	0.000000	
 1 	 18		2.140849		0.000004																																																																																							-2.140694					0.000000																																																																																				-0.011864	0.011705																	0.000000	
 1 	 19		1.528968		0.000004																																																																																							-1.529063					0.000000																																																																																				-0.011772	0.011863																	0.000000	
 1 	 20		1.146445		0.000004																																																																																							-1.146628					0.000000																																																																																				-0.011712	0.011891																	0.000000	
 1 	 21		0.763299		0.000004																																																																																							-0.763985					0.000000																																																																																				-0.011235	0.011917																	0.000000	
 1 	 22		0.488049		0.000004																																																																																							-0.489367					0.000000																																																																																				-0.010889	0.012203																	0.000000	
 1 	 23		0.303585		0.000004																																																																																							-0.305854					0.000000																																																																																				-0.010342	0.012606																	0.000000	
 1 	 24		0.119912		0.000004																																																																																							-0.122342					0.000000																																																																																				-0.010161	0.012587																	0.000000	
 2 	 1		0.072724		0.000004																																																																																							-0.076398					0.000000																																																																																				-0.009417	0.013087																	0.000000	
 2 	 2		0.032201		0.000004																																																																																							-0.030585					0.000000																																																																																				-0.012283	0.010664																	0.000000	
 2 	 3		0.021512		0.000004																																																																																							-0.015228					0.000000																																																																																				-0.015115	0.008827																	0.000000	
 2 	 4		0.178989		0.000004																																																																																							-0.183513					0.000000																																																																																				-0.009196	0.013715																	0.000000	
 2 	 5		0.486592		0.000004																																																																																							-0.489367					0.000000																																																																																				-0.010217	0.012988																	0.000000	
 2 	 6		1.222179		0.000004																																																																																							-1.223417					0.000000																																																																																				-0.011160	0.012394																	0.000000	
 2 	 7		2.369266		0.000004																																																																																							-2.370045					0.000000																																																																																				-0.011347	0.012123																	0.000000	
 2 	 8		2.063655		0.000004																																																																																							-2.064230					0.000000																																																																																				-0.011496	0.012068																	0.000000	
 2 	 9		1.910840		0.000004																																																																																							-1.911329					0.000000																																																																																				-0.011553	0.012039																	0.000000	
 2 	 10		2.140301		0.000004																																																																																							-2.140694					0.000000																																																																																				-0.011592	0.011981																	0.000000	
 2 	 11		2.446295		0.000004																																																																																							-2.446496					0.000000																																																																																				-0.011693	0.011890																	0.000000	
 2 	 12		2.691121		0.000004																																																																																							-2.691153					0.000000																																																																																				-0.011782	0.011810																	0.000000	
 2 	 13		2.446445		0.000004																																																																																							-2.446496					0.000000																																																																																				-0.011774	0.011822																	0.000000	
 2 	 14		2.477103		0.000004																																																																																							-2.477081					0.000000																																																																																				-0.011813	0.011787																	0.000000	
 2 	 15		2.783101		0.000004																																																																																							-2.782897					0.000000																																																																																				-0.011906	0.011699																	0.000000	
 2 	 16		2.905539		0.000004																																																																																							-2.905225					0.000000																																																																																				-0.011961	0.011644																	0.000000	
 2 	 17		2.905639		0.000004																																																																																							-2.905225					0.000000																																																																																				-0.012008	0.011590																	0.000000	
 2 	 18		2.141005		0.000004																																																																																							-2.140694					0.000000																																																																																				-0.011947	0.011632																	0.000000	
 2 	 19		1.529267		0.000004																																																																																							-1.529063					0.000000																																																																																				-0.011905	0.011698																	0.000000	
 2 	 20		1.146761		0.000004																																																																																							-1.146628					0.000000																																																																																				-0.011859	0.011722																	0.000000	
 2 	 21		0.763721		0.000004																																																																																							-0.763985					0.000000																																																																																				-0.011441	0.011701																	0.000000	
