Td 	 Time	ELECTRICITY	GASOLINE	DIESEL	BIOETHANOL	BIODIESEL	LFO	GAS	GAS_RE	WOOD	WET_BIOMASS	IMPORTED_COAL	LOCAL_COAL	URANIUM	WASTE	H2	H2_RE	AMMONIA	METHANOL	AMMONIA_RE	METHANOL_RE	ELEC_EXPORT	CO2_EMISSIONS	RES_WIND	RES_SOLAR	RES_HYDRO	RES_GEO	CO2_ATM	CO2_INDUSTRY	CO2_CAPTURED	PT_HEAT	ST_HEAT	NUCLEAR	CCGT	CCGT_AMMONIA	IMPORTED_COAL_CENTRAL	LOCAL_COAL_CENTRAL	BIOMASS_TO_POWER	PV_ROOFTOP	PV_UTILITY	PT_POWER_BLOCK	ST_POWER_BLOCK	WIND_ONSHORE	WIND_OFFSHORE	HYDRO_DAM	HYDRO_RIVER	TIDAL	WAVE	GEOTHERMAL	IND_COGEN_GAS	IND_COGEN_WOOD	IND_COGEN_WASTE	IND_BOILER_GAS	IND_BOILER_WOOD	IND_BOILER_OIL	IND_BOILER_COAL	IND_BOILER_WASTE	IND_DIRECT_ELEC	DHN_HP_ELEC	DHN_COGEN_GAS	DHN_COGEN_WOOD	DHN_COGEN_WASTE	DHN_COGEN_WET_BIOMASS	DHN_COGEN_BIO_HYDROLYSIS	DHN_BOILER_GAS	DHN_BOILER_WOOD	DHN_BOILER_OIL	DHN_DEEP_GEO	DHN_SOLAR	DEC_HP_ELEC	DEC_THHP_GAS	DEC_COGEN_GAS	DEC_COGEN_OIL	DEC_ADVCOGEN_GAS	DEC_ADVCOGEN_H2	DEC_BOILER_GAS	DEC_BOILER_WOOD	COAL_STOVE	DEC_BOILER_OIL	DEC_SOLAR	DEC_DIRECT_ELEC	DEC_THHP_GAS_COLD	DEC_ELEC_COLD	IND_ELEC_COLD	TRAMWAY_TROLLEY	BUS_COACH_DIESEL	BUS_COACH_GASOLINE	BUS_COACH_HYDIESEL	BUS_COACH_CNG_STOICH	BUS_COACH_FC_HYBRIDH2	TRAIN_PUB	MOTORCYCLE	CAR_GASOLINE	CAR_DIESEL	CAR_NG	CAR_METHANOL	CAR_HEV	CAR_PHEV	MOTORCYCLE_ELECTRIC	CAR_BEV	CAR_FUEL_CELL	TRAIN_FREIGHT	BOAT_FREIGHT_DIESEL	BOAT_FREIGHT_NG	BOAT_FREIGHT_METHANOL	TRUCK_DIESEL	TRUCK_GASOLINE	TRUCK_METHANOL	TRUCK_FUEL_CELL	TRUCK_ELEC	TRUCK_NG	HABER_BOSCH	OIL_TO_HVC	GAS_TO_HVC	BIOMASS_TO_HVC	METHANOL_TO_HVC	METHANE_TO_METHANOL	BIOMASS_TO_METHANOL	EFFICIENCY	DHN	GRID	HVAC_LINE	PT_COLLECTOR	ST_COLLECTOR	H2_ELECTROLYSIS	SMR	H2_BIOMASS	GASIFICATION_SNG	SYN_METHANATION	BIOMETHANATION	BIO_HYDROLYSIS	PYROLYSIS_TO_LFO	PYROLYSIS_TO_FUELS	ATM_CCS	INDUSTRY_CCS	SYN_METHANOLATION	AMMONIA_TO_H2	DAM_STORAGE_Pin	DAM_STORAGE_Pout	PHS_Pin	PHS_Pout	BATT_LI_Pin	BATT_LI_Pout	BEV_BATT_Pin	BEV_BATT_Pout	PHEV_BATT_Pin	PHEV_BATT_Pout	TS_DEC_DIRECT_ELEC_Pin	TS_DEC_DIRECT_ELEC_Pout	TS_DEC_HP_ELEC_Pin	TS_DEC_HP_ELEC_Pout	TS_DEC_THHP_GAS_Pin	TS_DEC_THHP_GAS_Pout	TS_DEC_COGEN_GAS_Pin	TS_DEC_COGEN_GAS_Pout	TS_DEC_COGEN_OIL_Pin	TS_DEC_COGEN_OIL_Pout	TS_DEC_ADVCOGEN_GAS_Pin	TS_DEC_ADVCOGEN_GAS_Pout	TS_DEC_ADVCOGEN_H2_Pin	TS_DEC_ADVCOGEN_H2_Pout	TS_DEC_BOILER_GAS_Pin	TS_DEC_BOILER_GAS_Pout	TS_DEC_BOILER_WOOD_Pin	TS_DEC_BOILER_WOOD_Pout	TS_COAL_STOVE_Pin	TS_COAL_STOVE_Pout	TS_DEC_BOILER_OIL_Pin	TS_DEC_BOILER_OIL_Pout	TS_DHN_DAILY_Pin	TS_DHN_DAILY_Pout	TS_DHN_SEASONAL_Pin	TS_DHN_SEASONAL_Pout	TS_HIGH_TEMP_Pin	TS_HIGH_TEMP_Pout	GAS_STORAGE_Pin	GAS_STORAGE_Pout	H2_STORAGE_Pin	H2_STORAGE_Pout	DIESEL_STORAGE_Pin	DIESEL_STORAGE_Pout	GASOLINE_STORAGE_Pin	GASOLINE_STORAGE_Pout	LFO_STORAGE_Pin	LFO_STORAGE_Pout	AMMONIA_STORAGE_Pin	AMMONIA_STORAGE_Pout	METHANOL_STORAGE_Pin	METHANOL_STORAGE_Pout	CO2_STORAGE_Pin	CO2_STORAGE_Pout	PT_STORAGE_Pin	PT_STORAGE_Pout	ST_STORAGE_Pin	ST_STORAGE_Pout	TS_COLD_Pin	TS_COLD_Pout	CAES_Pin	CAES_Pout	END_USE	
 1 	 1			1.998910		0.628775																																																																																-0.312324																	-0.117950			-2.197446																																																																										-0.000947	0.000983																			0.000000	
 1 	 2			1.824550		0.615753																																																																																-0.125036																	-0.117950			-2.197446																																																																										-0.000880	0.001009																			0.000000	
 1 	 3			1.817390		0.560236																																																																																-0.062252																	-0.117950			-2.197446																																																																										-0.000927	0.000950																			0.000000	
 1 	 4			2.433251		0.632442																																																																																-0.750217																	-0.117950			-2.197446																																																																										-0.001004	0.000924																			0.000000	
 1 	 5			3.605606		0.710353																																																																																-2.000579																	-0.117950			-2.197446																																																																										-0.000947	0.000963																			0.000000	
 1 	 6			6.490848		0.825861																																																																																-5.001448																	-0.117950			-2.197446																																																																										-0.000884	0.001020																			0.000000	
 1 	 7			11.155929		0.848381																																																																																-9.688975																	-0.117950			-2.197446																																																																										-0.000920	0.000981																			0.000000	
 1 	 8			9.912386		0.841734																																																																																-8.438773																	-0.117950			-2.197446																																																																										-0.000925	0.000975																			0.000000	
 1 	 9			9.292392		0.836683																																																																																-7.813698																	-0.117950			-2.197446																																																																										-0.000941	0.000960																			0.000000	
 1 	 10			10.228687		0.838109																																																																																-8.751363																	-0.117950			-2.197446																																																																										-0.000971	0.000934																			0.000000	
 1 	 11			11.475044		0.841965																																																																																-10.001512																	-0.117950			-2.197446																																																																										-0.001009	0.000909																			0.000000	
 1 	 12			12.475222		0.841957																																																																																-11.001696																	-0.117950			-2.197446																																																																										-0.001001	0.000914																			0.000000	
 1 	 13			11.474230		0.842750																																																																																-10.001512																	-0.117950			-2.197446																																																																										-0.000995	0.000923																			0.000000	
 1 	 14			11.596532		0.845469																																																																																-10.126549																	-0.117950			-2.197446																																																																										-0.000988	0.000933																			0.000000	
 1 	 15			12.841545		0.850636																																																																																-11.376751																	-0.117950			-2.197446																																																																										-0.000978	0.000944																			0.000000	
 1 	 16			13.337229		0.855045																																																																																-11.876843																	-0.117950			-2.197446																																																																										-0.000978	0.000943																			0.000000	
 1 	 17			13.333955		0.858269																																																																																-11.876843																	-0.117950			-2.197446																																																																										-0.000956	0.000970																			0.000000	
 1 	 18			10.232406		0.834432																																																																																-8.751363																	-0.117950			-2.197446																																																																										-0.000995	0.000916																			0.000000	
 1 	 19			7.746979		0.819424																																																																																-6.250959																	-0.117950			-2.197446																																																																										-0.000975	0.000927																			0.000000	
 1 	 20			6.209108		0.793903																																																																																-4.687527																	-0.117950			-2.197446																																																																										-0.000994	0.000906																			0.000000	
 1 	 21			4.674631		0.764106																																																																																-3.123245																	-0.117950			-2.197446																																																																										-0.000997	0.000901																			0.000000	
 1 	 22			3.582158		0.733924																																																																																-2.000579																	-0.117950			-2.197446																																																																										-0.001002	0.000895																			0.000000	
 1 	 23			2.858874		0.706946																																																																																-1.250362																	-0.117950			-2.197446																																																																										-0.000983	0.000920																			0.000000	
 1 	 24			2.152415		0.663101																																																																																-0.500145																	-0.117950			-2.197446																																																																										-0.000945	0.000970																			0.000000	
 2 	 1			2.316213		0.311464																																																																																-0.312324																	-0.117950			-2.197446																																																																										-0.000924	0.000968																			0.000000	
 2 	 2			2.133328		0.307193																																																																																-0.125036																	-0.117950			-2.197446																																																																										-0.000996	0.000908																			0.000000	
 2 	 3			2.092511		0.285291																																																																																-0.062252																	-0.117950			-2.197446																																																																										-0.001034	0.000881																			0.000000	
 2 	 4			2.755488		0.310421																																																																																-0.750217																	-0.117950			-2.197446																																																																										-0.001108	0.000813																			0.000000	
 2 	 5			3.994822		0.321164																																																																																-2.000579																	-0.117950			-2.197446																																																																										-0.000947	0.000937																			0.000000	
 2 	 6			7.002020		0.314648																																																																																-5.001448																	-0.117950			-2.197446																																																																										-0.000862	0.001039																			0.000000	
 2 	 7			11.685596		0.318544																																																																																-9.688975																	-0.117950			-2.197446																																																																										-0.000835	0.001067																			0.000000	
 2 	 8			10.436513		0.317421																																																																																-8.438773																	-0.117950			-2.197446																																																																										-0.000832	0.001068																			0.000000	
 2 	 9			9.813509		0.315399																																																																																-7.813698																	-0.117950			-2.197446																																																																										-0.000857	0.001043																			0.000000	
 2 	 10			10.754948		0.311710																																																																																-8.751363																	-0.117950			-2.197446																																																																										-0.000901	0.001003																			0.000000	
 2 	 11			12.015894		0.301158																																																																																-10.001512																	-0.117950			-2.197446																																																																										-0.001039	0.000896																			0.000000	
 2 	 12			13.005865		0.311247																																																																																-11.001696																	-0.117950			-2.197446																																																																										-0.000972	0.000952																			0.000000	
 2 	 13			12.000400		0.316469																																																																																-10.001512																	-0.117950			-2.197446																																																																										-0.000943	0.000982																			0.000000	
 2 	 14			12.121571		0.320323																																																																																-10.126549																	-0.117950			-2.197446																																																																										-0.000940	0.000991																			0.000000	
 2 	 15			13.368040		0.324047																																																																																-11.376751																	-0.117950			-2.197446																																																																										-0.000935	0.000995																			0.000000	
 2 	 16			13.862685		0.329420																																																																																-11.876843																	-0.117950			-2.197446																																																																										-0.000899	0.001033																			0.000000	
 2 	 17			13.857503		0.334492																																																																																-11.876843																	-0.117950			-2.197446																																																																										-0.000851	0.001095																			0.000000	
 2 	 18			10.737044		0.329745																																																																																-8.751363																	-0.117950			-2.197446																																																																										-0.000969	0.000939																			0.000000	
 2 	 19			8.239676		0.326809																																																																																-6.250959																	-0.117950			-2.197446																																																																										-0.001015	0.000884																			0.000000	
 2 	 20			6.678963		0.324150																																																																																-4.687527																	-0.117950			-2.197446																																																																										-0.001044	0.000854																			0.000000	
 2 	 21			5.118589		0.320229																																																																																-3.123245																	-0.117950			-2.197446																																																																										-0.001038	0.000861																			0.000000	
 2 	 22			3.981138		0.334978																																																																																-2.000579																	-0.117950			-2.197446																																																																										-0.001006	0.000866																			0.000000	
 2 	 23			3.237048		0.328773																																																																																-1.250362																	-0.117950			-2.197446																																																																										-0.000968	0.000906																			0.000000	
 2 	 24			2.498693		0.316727																																																																																-0.500145																	-0.117950			-2.197446																																																																										-0.000883	0.001005																			0.000000	
 3 	 1			2.241368		0.386258																																																																																-0.312324																	-0.117950			-2.197446																																																																										-0.000900	0.000995																			0.000000	
 3 	 2			2.059703		0.380793																																																																																-0.125036																	-0.117950			-2.197446																																																																										-0.000983	0.000920																			0.000000	
 3 	 3			1.998995		0.378774																																																																																-0.062252																	-0.117950			-2.197446																																																																										-0.001014	0.000894																			0.000000	
 3 	 4			2.663679		0.402166																																																																																-0.750217																	-0.117950			-2.197446																																																																										-0.001077	0.000846																			0.000000	
 3 	 5			3.903484		0.412515																																																																																-2.000579																	-0.117950			-2.197446																																																																										-0.000973	0.000950																			0.000000	
 3 	 6			6.894688		0.422023																																																																																-5.001448																	-0.117950			-2.197446																																																																										-0.000887	0.001020																			0.000000	
 3 	 7			11.576594		0.427571																																																																																-9.688975																	-0.117950			-2.197446																																																																										-0.000849	0.001056																			0.000000	
 3 	 8			10.328291		0.425687																																																																																-8.438773																	-0.117950			-2.197446																																																																										-0.000856	0.001047																			0.000000	
 3 	 9			9.706230		0.422697																																																																																-7.813698																	-0.117950			-2.197446																																																																										-0.000867	0.001035																			0.000000	
 3 	 10			10.647928		0.418756																																																																																-8.751363																	-0.117950			-2.197446																																																																										-0.000916	0.000991																			0.000000	
 3 	 11			11.906196		0.410814																																																																																-10.001512																	-0.117950			-2.197446																																																																										-0.001016	0.000914																			0.000000	
 3 	 12			12.898374		0.418737																																																																																-11.001696																	-0.117950			-2.197446																																																																										-0.000972	0.000952																			0.000000	
 3 	 13			11.893477		0.423410																																																																																-10.001512																	-0.117950			-2.197446																																																																										-0.000952	0.000973																			0.000000	
 3 	 14			12.014610		0.427301																																																																																-10.126549																	-0.117950			-2.197446																																																																										-0.000949	0.000983																			0.000000	
 3 	 15			13.261190		0.430919																																																																																-11.376751																	-0.117950			-2.197446																																																																										-0.000947	0.000986																			0.000000	
 3 	 16			13.756818		0.435320																																																																																-11.876843																	-0.117950			-2.197446																																																																										-0.000917	0.001018																			0.000000	
 3 	 17			13.751065		0.440991																																																																																-11.876843																	-0.117950			-2.197446																																																																										-0.000882	0.001065																			0.000000	
 3 	 18			10.631645		0.435157																																																																																-8.751363																	-0.117950			-2.197446																																																																										-0.000977	0.000935																			0.000000	
 3 	 19			8.136321		0.430154																																																																																-6.250959																	-0.117950			-2.197446																																																																										-0.001011	0.000891																			0.000000	
 3 	 20			6.577338		0.425761																																																																																-4.687527																	-0.117950			-2.197446																																																																										-0.001037	0.000862																			0.000000	
 3 	 21			5.019420		0.419395																																																																																-3.123245																	-0.117950			-2.197446																																																																										-0.001037	0.000862																			0.000000	
