TECHNOLOGIES	 c_inv	 c_maint	 lifetime	  f_min	 f	 f_max	 fmin_perc	f_perc	 fmax_perc	 c_p	 c_p_max	 tau	 gwp_constr
 UNITS	[M€/GW]	 [M€/GW/y]	 [y]	 [GW or GWh]	 [GW or GWh]	 [GW or GWh]	 [0-1]	 [0-1]	 [0-1]	 [0-1]	 [0-1]	 [-]	 [ktCO2-eq./GW or GWh] 
NUCLEAR	0.000000	0.000000	60.000000	0.000000	0.000000	0.000000	0.000000	0.000000	1.000000	0.000000	0.843906	0.025393	0.000000
CCGT	22317.538000	533.115386	25.000000	8.170000	27.020120	40.000000	0.000000	0.164579	1.000000	0.200462	0.955769	0.048263	4966.027785
CCGT_AMMONIA	0.000000	0.000000	25.000000	0.000000	0.000000	0.000000	0.000000	0.000000	1.000000	0.000000	0.590000	0.048263	0.000000
COAL_US	0.000000	0.000000	35.000000	0.000000	0.000000	0.000000	0.000000	0.000000	1.000000	0.000000	0.862792	0.036934	0.000000
COAL_IGCC	53961.565000	788.039142	35.000000	16.100000	16.100000	16.100000	0.000000	0.387069	1.000000	0.791242	0.850864	0.036934	5338.760000
BIOMASS_TO_POWER	0.000000	0.000000	35.000000	0.000000	0.000000	0.000000	0.000000	0.000000	1.000000	0.000000	0.868000	0.036934	0.000000
PV_ROOFTOP	4423.630767	58.311497	25.000000	5.995000	5.995000	5.995000	0.000000	0.032059	1.000000	0.176000	1.000000	0.048263	12478.172850
PV_UTILITY	0.000000	0.000000	25.000000	0.000000	0.000000	0.000000	0.000000	0.000000	1.000000	0.000000	1.000000	0.048263	0.000000
PT_POWER_BLOCK	0.000000	0.000000	25.000000	0.000000	0.000000	0.000000	0.000000	0.000000	1.000000	0.000000	1.000000	0.048263	0.000000
ST_POWER_BLOCK	0.000000	0.000000	25.000000	0.000000	0.000000	0.000000	0.000000	0.000000	1.000000	0.000000	1.000000	0.048263	0.000000
WIND_ONSHORE	8668.618360	127.680620	30.000000	7.591000	7.591000	7.591000	0.000000	0.077268	1.000000	0.335000	1.000000	0.041639	4728.054350
WIND_OFFSHORE	0.000000	0.000000	30.000000	0.000000	0.000000	0.000000	0.000000	0.000000	1.000000	0.000000	1.000000	0.041639	0.000000
HYDRO_DAM	65854.362488	329.245216	40.000000	15.000000	15.677000	15.677000	0.000000	0.169577	1.000000	0.356000	1.000000	0.033427	26539.279584
HYDRO_RIVER	64574.976655	645.693424	40.000000	12.800000	12.800000	12.826000	0.000000	0.138456	1.000000	0.356000	1.000000	0.033427	16164.096164
TIDAL	0.000000	0.000000	40.000000	0.000000	0.000000	0.000000	0.000000	0.000000	1.000000	0.000000	1.000000	0.033427	0.000000
WAVE	0.000000	0.000000	20.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	1.000000	0.058246	0.000000
GEOTHERMAL	10517.232000	170.726400	30.000000	1.200000	1.200000	1.200000	0.000000	0.030992	1.000000	0.850000	0.850000	0.041639	29914.908000
IND_COGEN_GAS	0.000000	0.000000	25.000000	0.000000	0.000000	0.000000	0.000000	0.000000	1.000000	0.000000	0.844900	0.048263	0.000000
IND_COGEN_WOOD	0.000000	0.000000	25.000000	0.000000	0.000000	0.000000	0.000000	0.000000	1.000000	0.000000	0.844900	0.048263	0.000000
IND_COGEN_WASTE	0.000000	0.000000	25.000000	0.000000	0.000000	0.000000	0.000000	0.000000	1.000000	0.000000	0.844900	0.048263	0.000000
IND_BOILER_GAS	526.638126	8.792597	17.000000	7.452075	7.452075	7.453000	0.000000	0.648955	1.000000	0.657483	0.944300	0.067080	91.809561
IND_BOILER_WOOD	0.000000	0.000000	17.000000	0.000000	0.000000	0.000000	0.000000	0.000000	1.000000	0.000000	0.894600	0.067080	0.000000
IND_BOILER_OIL	0.001932	0.000035	17.000000	0.000000	0.000029	Infinity	0.000000	0.000000	1.000000	0.012561	0.944300	0.067080	0.000362
IND_BOILER_COAL	407.749000	6.795580	17.000000	2.950000	2.950000	2.950000	0.000000	0.349545	1.000000	0.894600	0.894600	0.067080	142.131000
IND_BOILER_WASTE	1.923613	0.032059	17.000000	0.000000	0.013917	Infinity	0.000000	0.001500	1.000000	0.813727	0.894600	0.067080	0.401785
IND_DIRECT_ELEC	0.000000	0.000000	15.000000	0.000000	0.000000	0.000000	0.000000	0.000000	1.000000	0.000000	0.944300	0.074944	0.000000
DHN_HP_ELEC	0.000000	0.000000	25.000000	0.000000	0.000000	0.000000	0.000000	0.000000	1.000000	0.000000	0.944300	0.048263	0.000000
DHN_COGEN_GAS	2287.252800	63.053095	25.000000	1.680000	1.680000	1.680000	0.000000	0.177757	1.000000	0.844900	0.844900	0.048263	824.678400
DHN_COGEN_WOOD	0.003459	0.000119	25.000000	0.000000	0.000003	Infinity	0.000000	0.000000	1.000000	0.006505	0.844900	0.048263	0.000488
DHN_COGEN_WASTE	0.006042	0.000211	25.000000	0.000000	0.000002	Infinity	0.000000	0.000000	1.000000	0.010577	0.844900	0.048263	0.001230
DHN_COGEN_WET_BIOMASS	0.000000	0.000000	25.000000	0.000000	0.000000	Infinity	0.000000	0.000000	1.000000	0.000000	0.745500	0.048263	0.000000
DHN_COGEN_BIO_HYDROLYSIS	0.000000	0.000000	15.000000	0.000000	0.000000	Infinity	0.000000	0.000000	1.000000	0.000000	0.844900	0.074944	0.000000
DHN_BOILER_GAS	0.000000	0.000000	17.000000	0.000000	0.000000	0.000000	0.000000	0.000000	1.000000	0.000000	0.944300	0.067080	0.000000
DHN_BOILER_WOOD	1122.434238	18.706586	17.000000	0.000000	8.120635	Infinity	0.000000	0.494320	1.000000	0.486079	0.894600	0.067080	234.442747
DHN_BOILER_OIL	0.000000	0.000000	17.000000	0.000000	0.000000	0.000000	0.000000	0.000000	1.000000	0.000000	0.944300	0.067080	0.000000
DHN_DEEP_GEO	4916.417000	173.972000	30.000000	3.050000	3.050000	3.050000	0.000000	0.322713	1.000000	0.844900	0.844900	0.041639	2466.718000
DHN_SOLAR	76.273997	0.086600	30.000000	0.000000	0.200000	0.200000	0.000000	0.005210	1.000000	0.207999	1.000000	0.041639	44.243998
DEC_HP_ELEC	2823.899996	105.253301	18.000000	3.000000	5.000000	5.000000	0.000000	0.048844	1.000000	0.426631	1.000000	0.063806	824.449999
DEC_THHP_GAS	0.000000	0.000000	20.000000	0.000000	0.000000	0.000000	0.000000	0.000000	1.000000	0.000000	1.000000	0.058246	0.000000
DEC_COGEN_GAS	0.000000	0.000000	20.000000	0.000000	0.000000	0.000000	0.000000	0.000000	1.000000	0.000000	1.000000	0.058246	0.000000
DEC_COGEN_OIL	0.000000	0.000000	20.000000	0.000000	0.000000	0.000000	0.000000	0.000000	1.000000	0.000000	1.000000	0.058246	0.000000
