Td 	 Time	ELECTRICITY	GASOLINE	DIESEL	BIOETHANOL	BIODIESEL	LFO	GAS	GAS_RE	WOOD	WET_BIOMASS	COAL	URANIUM	WASTE	H2	H2_RE	AMMONIA	METHANOL	AMMONIA_RE	METHANOL_RE	ELEC_EXPORT	CO2_EMISSIONS	RES_WIND	RES_SOLAR	RES_HYDRO	RES_GEO	CO2_ATM	CO2_INDUSTRY	CO2_CAPTURED	PT_HEAT	ST_HEAT	NUCLEAR	CCGT	CCGT_AMMONIA	COAL_US	COAL_IGCC	PV_ROOFTOP	PV_UTILITY	PT_POWER_BLOCK	ST_POWER_BLOCK	WIND_ONSHORE	WIND_OFFSHORE	HYDRO_DAM	HYDRO_RIVER	TIDAL	WAVE	GEOTHERMAL	IND_COGEN_GAS	IND_COGEN_WOOD	IND_COGEN_WASTE	IND_BOILER_GAS	IND_BOILER_WOOD	IND_BOILER_OIL	IND_BOILER_COAL	IND_BOILER_WASTE	IND_DIRECT_ELEC	DHN_HP_ELEC	DHN_COGEN_GAS	DHN_COGEN_WOOD	DHN_COGEN_WASTE	DHN_COGEN_WET_BIOMASS	DHN_COGEN_BIO_HYDROLYSIS	DHN_BOILER_GAS	DHN_BOILER_WOOD	DHN_BOILER_OIL	DHN_DEEP_GEO	DHN_SOLAR	DEC_HP_ELEC	DEC_THHP_GAS	DEC_COGEN_GAS	DEC_COGEN_OIL	DEC_ADVCOGEN_GAS	DEC_ADVCOGEN_H2	DEC_BOILER_GAS	DEC_BOILER_WOOD	COAL_STOVE	DEC_BOILER_OIL	DEC_SOLAR	DEC_DIRECT_ELEC	DEC_THHP_GAS_COLD	DEC_ELEC_COLD	IND_ELEC_COLD	TRAMWAY_TROLLEY	BUS_COACH_DIESEL	BUS_COACH_GASOLINE	BUS_COACH_HYDIESEL	BUS_COACH_CNG_STOICH	BUS_COACH_FC_HYBRIDH2	TRAIN_PUB	MOTORCYCLE	CAR_GASOLINE	CAR_DIESEL	CAR_NG	CAR_METHANOL	CAR_HEV	CAR_PHEV	CAR_BEV	CAR_FUEL_CELL	TRAIN_FREIGHT	BOAT_FREIGHT_DIESEL	BOAT_FREIGHT_NG	BOAT_FREIGHT_METHANOL	TRUCK_DIESEL	TRUCK_GASOLINE	TRUCK_METHANOL	TRUCK_FUEL_CELL	TRUCK_ELEC	TRUCK_NG	HABER_BOSCH	OIL_TO_HVC	GAS_TO_HVC	BIOMASS_TO_HVC	METHANOL_TO_HVC	SYN_METHANOLATION	METHANE_TO_METHANOL	BIOMASS_TO_METHANOL	EFFICIENCY	DHN	GRID	HVAC_LINE	PT_COLLECTOR	ST_COLLECTOR	H2_ELECTROLYSIS	SMR	H2_BIOMASS	GASIFICATION_SNG	SYN_METHANATION	BIOMETHANATION	BIO_HYDROLYSIS	PYROLYSIS_TO_LFO	PYROLYSIS_TO_FUELS	ATM_CCS	INDUSTRY_CCS	AMMONIA_TO_H2	DAM_STORAGE_Pin	DAM_STORAGE_Pout	PHS_Pin	PHS_Pout	BATT_LI_Pin	BATT_LI_Pout	BEV_BATT_Pin	BEV_BATT_Pout	PHEV_BATT_Pin	PHEV_BATT_Pout	TS_DEC_DIRECT_ELEC_Pin	TS_DEC_DIRECT_ELEC_Pout	TS_DEC_HP_ELEC_Pin	TS_DEC_HP_ELEC_Pout	TS_DEC_THHP_GAS_Pin	TS_DEC_THHP_GAS_Pout	TS_DEC_COGEN_GAS_Pin	TS_DEC_COGEN_GAS_Pout	TS_DEC_COGEN_OIL_Pin	TS_DEC_COGEN_OIL_Pout	TS_DEC_ADVCOGEN_GAS_Pin	TS_DEC_ADVCOGEN_GAS_Pout	TS_DEC_ADVCOGEN_H2_Pin	TS_DEC_ADVCOGEN_H2_Pout	TS_DEC_BOILER_GAS_Pin	TS_DEC_BOILER_GAS_Pout	TS_DEC_BOILER_WOOD_Pin	TS_DEC_BOILER_WOOD_Pout	TS_COAL_STOVE_Pin	TS_COAL_STOVE_Pout	TS_DEC_BOILER_OIL_Pin	TS_DEC_BOILER_OIL_Pout	TS_DHN_DAILY_Pin	TS_DHN_DAILY_Pout	TS_DHN_SEASONAL_Pin	TS_DHN_SEASONAL_Pout	TS_HIGH_TEMP_Pin	TS_HIGH_TEMP_Pout	GAS_STORAGE_Pin	GAS_STORAGE_Pout	H2_STORAGE_Pin	H2_STORAGE_Pout	DIESEL_STORAGE_Pin	DIESEL_STORAGE_Pout	GASOLINE_STORAGE_Pin	GASOLINE_STORAGE_Pout	LFO_STORAGE_Pin	LFO_STORAGE_Pout	AMMONIA_STORAGE_Pin	AMMONIA_STORAGE_Pout	METHANOL_STORAGE_Pin	METHANOL_STORAGE_Pout	CO2_STORAGE_Pin	CO2_STORAGE_Pout	PT_STORAGE_Pin	PT_STORAGE_Pout	ST_STORAGE_Pin	ST_STORAGE_Pout	TS_COLD_Pin	TS_COLD_Pout	CAES_Pin	CAES_Pout	END_USE	
 1 	 1																						22.527966																		-22.527966	-0.000001																																																																																																																																																											0.000000	
 1 	 2																						22.912776																		-22.912775	-0.000001																																																																																																																																																											0.000000	
 1 	 3																						25.086844																		-25.086844	-0.000001																																																																																																																																																											0.000000	
 1 	 4																						26.112042																		-26.112041	-0.000001																																																																																																																																																											0.000000	
 1 	 5																						24.299719																		-24.299718	-0.000001																																																																																																																																																											0.000000	
 1 	 6																						22.881722																		-22.881721	-0.000001																																																																																																																																																											0.000000	
 1 	 7																						23.042575																		-23.042574	-0.000001																																																																																																																																																											0.000000	
 1 	 8																						24.729396																		-24.729396	-0.000001																																																																																																																																																											0.000000	
 1 	 9																						24.391061																		-24.391061	-0.000001																																																																																																																																																											0.000000	
 1 	 10																						23.913955																		-23.913954	-0.000001																																																																																																																																																											0.000000	
 1 	 11																						23.736674																		-23.736673	-0.000001																																																																																																																																																											0.000000	
 1 	 12																						23.638662																		-23.638662	-0.000001																																																																																																																																																											0.000000	
 1 	 13																						23.304278																		-23.304277	-0.000000																																																																																																																																																											0.000000	
 1 	 14																						22.786483																		-22.786483	-0.000000																																																																																																																																																											0.000000	
 1 	 15																						21.416522																		-21.416522	-0.000000																																																																																																																																																											0.000000	
 1 	 16																						18.110967																		-18.110967	-0.000000																																																																																																																																																											0.000000	
 1 	 17																						16.248684																		-16.248683	-0.000000																																																																																																																																																											0.000000	
 1 	 18																						18.382200																		-18.382200	-0.000000																																																																																																																																																											0.000000	
 1 	 19																						20.599322																		-20.599321	-0.000000																																																																																																																																																											0.000000	
 1 	 20																						21.288013																		-21.288013	-0.000000																																																																																																																																																											0.000000	
 1 	 21																						20.901868																		-20.901868	-0.000000																																																																																																																																																											0.000000	
 1 	 22																						19.524761																		-19.524761	-0.000000																																																																																																																																																											0.000000	
 1 	 23																						17.833485																		-17.833484	-0.000000																																																																																																																																																											0.000000	
 1 	 24																						16.744137																		-16.744136	-0.000000																																																																																																																																																											0.000000	
 2 	 1																						4.383333																		-4.383333	-0.000000																																																																																																																																																											0.000000	
 2 	 2																						4.755319																		-4.755319	-0.000000																																																																																																																																																											0.000000	
 2 	 3																						5.256066																		-5.256066	-0.000000																																																																																																																																																											0.000000	
 2 	 4																						6.328824																		-6.328824	-0.000000																																																																																																																																																											0.000000	
 2 	 5																						7.793958																		-7.793958	-0.000000																																																																																																																																																											0.000000	
 2 	 6																						9.088992																		-9.088992	-0.000000																																																																																																																																																											0.000000	
 2 	 7																						10.273023																		-10.273023	-0.000000																																																																																																																																																											0.000000	
 2 	 8																						11.403132																		-11.403131	-0.000000																																																																																																																																																											0.000000	
 2 	 9																						11.750632																		-11.750632	-0.000000																																																																																																																																																											0.000000	
 2 	 10																						9.777165																		-9.777165	-0.000000																																																																																																																																																											0.000000	
 2 	 11																						12.328520																		-12.328520	-0.000000																																																																																																																																																											0.000000	
 2 	 12																						18.585500																		-18.585500	-0.000000																																																																																																																																																											0.000000	
 2 	 13																						21.137814																		-21.137813	-0.000000																																																																																																																																																											0.000000	
 2 	 14																						22.724269																		-22.724269	-0.000000																																																																																																																																																											0.000000	
 2 	 15																						24.485384																		-24.485383	-0.000000																																																																																																																																																											0.000000	
 2 	 16																						26.145274																		-26.145274	-0.000000																																																																																																																																																											0.000000	
 2 	 17																						26.108769																		-26.108768	-0.000000																																																																																																																																																											0.000000	
 2 	 18																						26.959834																		-26.959833	-0.000001																																																																																																																																																											0.000000	
 2 	 19																						30.094272																		-30.094272	-0.000001																																																																																																																																																											0.000000	
 2 	 20																						32.455789																		-32.455788	-0.000001																																																																																																																																																											0.000000	
 2 	 21																						33.975152																		-33.975151	-0.000001																																																																																																																																																											0.000000	
 2 	 22																						35.219935																		-35.219934	-0.000001																																																																																																																																																											0.000000	
 2 	 23																						35.568379																		-35.568378	-0.000001																																																																																																																																																											0.000000	
 2 	 24																						35.250957																		-35.250956	-0.000001																																																																																																																																																											0.000000	
 3 	 1																						30.650135																		-30.650134	-0.000001																																																																																																																																																											0.000000	
 3 	 2																						30.028317																		-30.028317	-0.000001																																																																																																																																																											0.000000	
 3 	 3																						30.562553																		-30.562552	-0.000001																																																																																																																																																											0.000000	
 3 	 4																						31.282335																		-31.282335	-0.000001																																																																																																																																																											0.000000	
 3 	 5																						31.219386																		-31.219386	-0.000001																																																																																																																																																											0.000000	
 3 	 6																						31.004443																		-31.004442	-0.000001																																																																																																																																																											0.000000	
 3 	 7																						30.872968																		-30.872968	-0.000001																																																																																																																																																											0.000000	
 3 	 8																						30.266442																		-30.266441	-0.000001																																																																																																																																																											0.000000	
 3 	 9																						28.134867																		-28.134866	-0.000001																																																																																																																																																											0.000000	
 3 	 10																						28.257778																		-28.257777	-0.000001																																																																																																																																																											0.000000	
 3 	 11																						27.511655																		-27.511654	-0.000001																																																																																																																																																											0.000000	
 3 	 12																						26.576690																		-26.576689	-0.000001																																																																																																																																																											0.000000	
 3 	 13																						25.222540																		-25.222539	-0.000001																																																																																																																																																											0.000000	
 3 	 14																						23.926683																		-23.926682	-0.000000																																																																																																																																																											0.000000	
 3 	 15																						23.221983																		-23.221983	-0.000000																																																																																																																																																											0.000000	
 3 	 16																						23.053840																		-23.053840	-0.000000																																																																																																																																																											0.000000	
 3 	 17																						22.841732																		-22.841731	-0.000000																																																																																																																																																											0.000000	
 3 	 18																						22.321707																		-22.321707	-0.000000																																																																																																																																																											0.000000	
 3 	 19																						21.970888																		-21.970887	-0.000000																																																																																																																																																											0.000000	
 3 	 20																						21.701640																		-21.701640	-0.000000																																																																																																																																																											0.000000	
 3 	 21																						21.698959																		-21.698958	-0.000000																																																																																																																																																											0.000000	
 3 	 22																						21.709323																		-21.709322	-0.000000																																																																																																																																																											0.000000	
 3 	 23																						21.612168																		-21.612168	-0.000000																																																																																																																																																											0.000000	
 3 	 24																						20.993005																		-20.993004	-0.000000																																																																																																																																																											0.000000	
 4 	 1																						19.263542																		-19.263541	-0.000000																																																																																																																																																											0.000000	
 4 	 2																						17.138066																		-17.138066	-0.000000																																																																																																																																																											0.000000	
 4 	 3																						15.735109																		-15.735109	-0.000000																																																																																																																																																											0.000000	
 4 	 4																						14.511532																		-14.511532	-0.000000																																																																																																																																																											0.000000	
 4 	 5																						13.547276																		-13.547276	-0.000000																																																																																																																																																											0.000000	
 4 	 6																						12.371619																		-12.371619	-0.000000																																																																																																																																																											0.000000	
 4 	 7																						11.383819																		-11.383819	-0.000000																																																																																																																																																											0.000000	
 4 	 8																						10.541220																		-10.541219	-0.000000																																																																																																																																																											0.000000	
 4 	 9																						8.560097																		-8.560096	-0.000000																																																																																																																																																											0.000000	
 4 	 10																						5.383516																		-5.383516	-0.000000																																																																																																																																																											0.000000	
 4 	 11																						4.011772																		-4.011772	-0.000000																																																																																																																																																											0.000000	
 4 	 12																						3.470867																		-3.470867	-0.000000																																																																																																																																																											0.000000	
 4 	 13																						2.603726																		-2.603726	-0.000000																																																																																																																																																											0.000000	
 4 	 14																						2.020267																		-2.020267	-0.000000																																																																																																																																																											0.000000	
