Td 	 Time	ELECTRICITY	GASOLINE	DIESEL	BIOETHANOL	BIODIESEL	LFO	GAS	IMPORTED_GAS	WOOD	WET_BIOMASS	IMPORTED_COAL	LOCAL_COAL	URANIUM	WASTE	H2	H2_RE	AMMONIA	METHANOL	AMMONIA_RE	METHANOL_RE	ELEC_EXPORT	H2_EXPORT	GAS_RE_EXPORT	AMMONIA_EXPORT	METHANOL_EXPORT	CO2_EMISSIONS	RES_WIND	RES_SOLAR	RES_HYDRO	RES_GEO	CO2_ATM	CO2_INDUSTRY	CO2_CAPTURED	PT_HEAT	ST_HEAT	NUCLEAR	CCGT	CCGT_AMMONIA	IMPORTED_COAL_CENTRAL	LOCAL_COAL_CENTRAL	BIOMASS_TO_POWER	PV_ROOFTOP	PV_UTILITY	PT_POWER_BLOCK	ST_POWER_BLOCK	WIND_ONSHORE	WIND_OFFSHORE	HYDRO_DAM	HYDRO_RIVER	TIDAL	WAVE	GEOTHERMAL	IND_COGEN_GAS	IND_COGEN_WOOD	IND_COGEN_WASTE	IND_BOILER_GAS	IND_BOILER_WOOD	IND_BOILER_OIL	IND_BOILER_COAL	IND_BOILER_WASTE	IND_DIRECT_ELEC	DHN_HP_ELEC	DHN_COGEN_GAS	DHN_COGEN_WOOD	DHN_COGEN_WASTE	DHN_COGEN_WET_BIOMASS	DHN_COGEN_BIO_HYDROLYSIS	DHN_BOILER_GAS	DHN_BOILER_WOOD	DHN_BOILER_OIL	DHN_DEEP_GEO	DHN_SOLAR	DEC_HP_ELEC	DEC_THHP_GAS	DEC_COGEN_GAS	DEC_COGEN_OIL	DEC_ADVCOGEN_GAS	DEC_ADVCOGEN_H2	DEC_BOILER_GAS	DEC_BOILER_WOOD	COAL_STOVE	DEC_BOILER_OIL	DEC_SOLAR	DEC_DIRECT_ELEC	DEC_THHP_GAS_COLD	DEC_ELEC_COLD	IND_ELEC_COLD	TRAMWAY_TROLLEY	BUS_COACH_DIESEL	BUS_COACH_GASOLINE	BUS_COACH_HYDIESEL	BUS_COACH_CNG_STOICH	BUS_COACH_FC_HYBRIDH2	TRAIN_PUB	MOTORCYCLE	CAR_GASOLINE	CAR_DIESEL	CAR_NG	CAR_METHANOL	CAR_HEV	CAR_PHEV	MOTORCYCLE_ELECTRIC	CAR_BEV	CAR_FUEL_CELL	TRAIN_FREIGHT	BOAT_FREIGHT_DIESEL	BOAT_FREIGHT_NG	BOAT_FREIGHT_METHANOL	TRUCK_DIESEL	TRUCK_GASOLINE	TRUCK_METHANOL	TRUCK_FUEL_CELL	TRUCK_ELEC	TRUCK_NG	HABER_BOSCH	OIL_TO_HVC	GAS_TO_HVC	BIOMASS_TO_HVC	METHANOL_TO_HVC	SYN_METHANOLATION	METHANE_TO_METHANOL	BIOMASS_TO_METHANOL	EFFICIENCY	H2_INFRASTRUCTURE	CHARGING_STATION	DHN	GRID	HVAC_LINE	PT_COLLECTOR	ST_COLLECTOR	H2_ELECTROLYSIS	SMR	H2_BIOMASS	GASIFICATION_SNG	SYN_METHANATION	BIOMETHANATION	BIO_HYDROLYSIS	PYROLYSIS_TO_LFO	PYROLYSIS_TO_FUELS	ATM_CCS	INDUSTRY_CCS	AMMONIA_TO_H2	DAM_STORAGE_Pin	DAM_STORAGE_Pout	PHS_Pin	PHS_Pout	BATT_LI_Pin	BATT_LI_Pout	BEV_BATT_Pin	BEV_BATT_Pout	PHEV_BATT_Pin	PHEV_BATT_Pout	TS_DEC_DIRECT_ELEC_Pin	TS_DEC_DIRECT_ELEC_Pout	TS_DEC_HP_ELEC_Pin	TS_DEC_HP_ELEC_Pout	TS_DEC_THHP_GAS_Pin	TS_DEC_THHP_GAS_Pout	TS_DEC_COGEN_GAS_Pin	TS_DEC_COGEN_GAS_Pout	TS_DEC_COGEN_OIL_Pin	TS_DEC_COGEN_OIL_Pout	TS_DEC_ADVCOGEN_GAS_Pin	TS_DEC_ADVCOGEN_GAS_Pout	TS_DEC_ADVCOGEN_H2_Pin	TS_DEC_ADVCOGEN_H2_Pout	TS_DEC_BOILER_GAS_Pin	TS_DEC_BOILER_GAS_Pout	TS_DEC_BOILER_WOOD_Pin	TS_DEC_BOILER_WOOD_Pout	TS_COAL_STOVE_Pin	TS_COAL_STOVE_Pout	TS_DEC_BOILER_OIL_Pin	TS_DEC_BOILER_OIL_Pout	TS_DHN_DAILY_Pin	TS_DHN_DAILY_Pout	TS_DHN_SEASONAL_Pin	TS_DHN_SEASONAL_Pout	TS_HIGH_TEMP_Pin	TS_HIGH_TEMP_Pout	GAS_STORAGE_Pin	GAS_STORAGE_Pout	H2_STORAGE_Pin	H2_STORAGE_Pout	DIESEL_STORAGE_Pin	DIESEL_STORAGE_Pout	GASOLINE_STORAGE_Pin	GASOLINE_STORAGE_Pout	LFO_STORAGE_Pin	LFO_STORAGE_Pout	AMMONIA_STORAGE_Pin	AMMONIA_STORAGE_Pout	METHANOL_STORAGE_Pin	METHANOL_STORAGE_Pout	CO2_STORAGE_Pin	CO2_STORAGE_Pout	PT_STORAGE_Pin	PT_STORAGE_Pout	ST_STORAGE_Pin	ST_STORAGE_Pout	TS_COLD_Pin	TS_COLD_Pout	CAES_Pin	CAES_Pout	END_USE	
 2 	 20																																																																																								1.051236	28.984088	0.000000	0.000000	0.000001	0.000000	0.000000																																																																																																															-30.035325	
 2 	 21																																																																																								0.700427	19.311759	0.000000	0.000000	0.000000	0.000000	0.000000																																																																																																															-20.012186	
 2 	 22																																																																																								0.448655	12.370053	0.000000	0.000000	0.000000	0.000000	0.000000																																																																																																															-12.818709	
 2 	 23																																																																																								0.280409	7.731283	0.000000	0.000000	0.000000	0.000000	0.000000																																																																																																															-8.011693	
 2 	 24																																																																																								0.112164	3.092513	0.000000	0.000000	0.000000	0.000000	0.000000																																																																																																															-3.204677	
 3 	 1																																																																																								0.070043	1.931176	0.000000	0.000000	0.000000	0.000000	0.000000																																																																																																															-2.001219	
 3 	 2																																																																																								0.028041	0.773128	0.000000	0.000000	0.000000	0.000000	0.000000																																																																																																															-0.801169	
 3 	 3																																																																																								0.013961	0.384919	0.000000	0.000000	0.000000	0.000000	0.000000																																																																																																															-0.398880	
 3 	 4																																																																																								0.168246	4.638770	0.000000	0.000000	0.000000	0.000000	0.000000																																																																																																															-4.807016	
 3 	 5																																																																																								0.448655	12.370053	0.000000	0.000000	0.000000	0.000000	0.000000																																																																																																															-12.818709	
 3 	 6																																																																																								1.121637	30.925133	0.000000	0.000000	0.000001	0.000000	0.000000																																																																																																															-32.046772	
 3 	 7																																																																																								2.172874	59.909221	0.000001	0.000000	0.000001	0.000000	0.000000																																																																																																															-62.082097	
 3 	 8																																																																																								1.892500	52.178925	0.000001	0.000000	0.000001	0.000000	0.000000																																																																																																															-54.071427	
 3 	 9																																																																																								1.752319	48.313941	0.000000	0.000000	0.000001	0.000000	0.000000																																																																																																															-50.066262	
 3 	 10																																																																																								1.962602	54.111745	0.000001	0.000000	0.000001	0.000000	0.000000																																																																																																															-56.074350	
 3 	 11																																																																																								2.242964	61.841713	0.000001	0.000000	0.000002	0.000000	0.000000																																																																																																															-64.084679	
 3 	 12																																																																																								2.467267	68.026081	0.000001	0.000000	0.000002	0.000000	0.000000																																																																																																															-70.493352	
 3 	 13																																																																																								2.242964	61.841713	0.000001	0.000000	0.000002	0.000000	0.000000																																																																																																															-64.084679	
 3 	 14																																																																																								2.271005	62.614841	0.000001	0.000000	0.000002	0.000000	0.000000																																																																																																															-64.885848	
 3 	 15																																																																																								2.551378	70.345137	0.000001	0.000000	0.000002	0.000000	0.000000																																																																																																															-72.896518	
 3 	 16																																																																																								2.663530	73.437322	0.000001	0.000000	0.000002	0.000000	0.000000																																																																																																															-76.100855	
 3 	 17																																																																																								2.663530	73.437322	0.000001	0.000000	0.000002	0.000000	0.000000																																																																																																															-76.100855	
 3 	 18																																																																																								1.962602	54.111745	0.000001	0.000000	0.000001	0.000000	0.000000																																																																																																															-56.074350	
 3 	 19																																																																																								1.401855	38.651153	0.000000	0.000000	0.000001	0.000000	0.000000																																																																																																															-40.053010	
 3 	 20																																																																																								1.051236	28.984088	0.000000	0.000000	0.000001	0.000000	0.000000																																																																																																															-30.035325	
 3 	 21																																																																																								0.700427	19.311759	0.000000	0.000000	0.000000	0.000000	0.000000																																																																																																															-20.012186	
 3 	 22																																																																																								0.448655	12.370053	0.000000	0.000000	0.000000	0.000000	0.000000																																																																																																															-12.818709	
 3 	 23																																																																																								0.280409	7.731283	0.000000	0.000000	0.000000	0.000000	0.000000																																																																																																															-8.011693	
 3 	 24																																																																																								0.112164	3.092513	0.000000	0.000000	0.000000	0.000000	0.000000																																																																																																															-3.204677	
 4 	 1																																																																																								0.070043	1.931176	0.000000	0.000000	0.000000	0.000000	0.000000																																																																																																															-2.001219	
 4 	 2																																																																																								0.028041	0.773128	0.000000	0.000000	0.000000	0.000000	0.000000																																																																																																															-0.801169	
 4 	 3																																																																																								0.013961	0.384919	0.000000	0.000000	0.000000	0.000000	0.000000																																																																																																															-0.398880	
 4 	 4																																																																																								0.168246	4.638770	0.000000	0.000000	0.000000	0.000000	0.000000																																																																																																															-4.807016	
 4 	 5																																																																																								0.448655	12.370053	0.000000	0.000000	0.000000	0.000000	0.000000																																																																																																															-12.818709	
 4 	 6																																																																																								1.121637	30.925133	0.000000	0.000000	0.000001	0.000000	0.000000																																																																																																															-32.046772	
 4 	 7																																																																																								2.172874	59.909221	0.000001	0.000000	0.000001	0.000000	0.000000																																																																																																															-62.082097	
 4 	 8																																																																																								1.892500	52.178925	0.000001	0.000000	0.000001	0.000000	0.000000																																																																																																															-54.071427	
 4 	 9																																																																																								1.752319	48.313941	0.000000	0.000000	0.000001	0.000000	0.000000																																																																																																															-50.066262	
 4 	 10																																																																																								1.962602	54.111745	0.000001	0.000000	0.000001	0.000000	0.000000																																																																																																															-56.074350	
 4 	 11																																																																																								2.242964	61.841713	0.000001	0.000000	0.000002	0.000000	0.000000																																																																																																															-64.084679	
 4 	 12																																																																																								2.467267	68.026081	0.000001	0.000000	0.000002	0.000000	0.000000																																																																																																															-70.493352	
 4 	 13																																																																																								2.242964	61.841713	0.000001	0.000000	0.000002	0.000000	0.000000																																																																																																															-64.084679	
 4 	 14																																																																																								2.271005	62.614841	0.000001	0.000000	0.000002	0.000000	0.000000																																																																																																															-64.885848	
 4 	 15																																																																																								2.551378	70.345137	0.000001	0.000000	0.000002	0.000000	0.000000																																																																																																															-72.896518	
 4 	 16																																																																																								2.663530	73.437322	0.000001	0.000000	0.000002	0.000000	0.000000																																																																																																															-76.100855	
 4 	 17																																																																																								2.663530	73.437322	0.000001	0.000000	0.000002	0.000000	0.000000																																																																																																															-76.100855	
 4 	 18																																																																																								1.962602	54.111745	0.000001	0.000000	0.000001	0.000000	0.000000																																																																																																															-56.074350	
 4 	 19																																																																																								1.401855	38.651153	0.000000	0.000000	0.000001	0.000000	0.000000																																																																																																															-40.053010	
 4 	 20																																																																																								1.051236	28.984088	0.000000	0.000000	0.000001	0.000000	0.000000																																																																																																															-30.035325	
 4 	 21																																																																																								0.700427	19.311759	0.000000	0.000000	0.000000	0.000000	0.000000																																																																																																															-20.012186	
 4 	 22																																																																																								0.448655	12.370053	0.000000	0.000000	0.000000	0.000000	0.000000																																																																																																															-12.818709	
 4 	 23																																																																																								0.280409	7.731283	0.000000	0.000000	0.000000	0.000000	0.000000																																																																																																															-8.011693	
 4 	 24																																																																																								0.112164	3.092513	0.000000	0.000000	0.000000	0.000000	0.000000																																																																																																															-3.204677	
 5 	 1																																																																																								0.070043	1.931176	0.000000	0.000000	0.000000	0.000000	0.000000																																																																																																															-2.001219	
 5 	 2																																																																																								0.028041	0.773128	0.000000	0.000000	0.000000	0.000000	0.000000																																																																																																															-0.801169	
 5 	 3																																																																																								0.013961	0.384919	0.000000	0.000000	0.000000	0.000000	0.000000																																																																																																															-0.398880	
 5 	 4																																																																																								0.168246	4.638770	0.000000	0.000000	0.000000	0.000000	0.000000																																																																																																															-4.807016	
 5 	 5																																																																																								0.448655	12.370053	0.000000	0.000000	0.000000	0.000000	0.000000																																																																																																															-12.818709	
 5 	 6																																																																																								1.121637	30.925133	0.000000	0.000000	0.000001	0.000000	0.000000																																																																																																															-32.046772	
 5 	 7																																																																																								2.172874	59.909221	0.000001	0.000000	0.000001	0.000000	0.000000																																																																																																															-62.082097	
 5 	 8																																																																																								1.892500	52.178925	0.000001	0.000000	0.000001	0.000000	0.000000																																																																																																															-54.071427	
 5 	 9																																																																																								1.752319	48.313941	0.000000	0.000000	0.000001	0.000000	0.000000																																																																																																															-50.066262	
 5 	 10																																																																																								1.962602	54.111745	0.000001	0.000000	0.000001	0.000000	0.000000																																																																																																															-56.074350	
 5 	 11																																																																																								2.242964	61.841713	0.000001	0.000000	0.000002	0.000000	0.000000																																																																																																															-64.084679	
 5 	 12																																																																																								2.467267	68.026081	0.000001	0.000000	0.000002	0.000000	0.000000																																																																																																															-70.493352	
 5 	 13																																																																																								2.242964	61.841713	0.000001	0.000000	0.000002	0.000000	0.000000																																																																																																															-64.084679	
 5 	 14																																																																																								2.271005	62.614841	0.000001	0.000000	0.000002	0.000000	0.000000																																																																																																															-64.885848	
 5 	 15																																																																																								2.551378	70.345137	0.000001	0.000000	0.000002	0.000000	0.000000																																																																																																															-72.896518	
 5 	 16																																																																																								2.663530	73.437322	0.000001	0.000000	0.000002	0.000000	0.000000																																																																																																															-76.100855	
 5 	 17																																																																																								2.663530	73.437322	0.000001	0.000000	0.000002	0.000000	0.000000																																																																																																															-76.100855	
 5 	 18																																																																																								1.962602	54.111745	0.000001	0.000000	0.000001	0.000000	0.000000																																																																																																															-56.074350	
 5 	 19																																																																																								1.401855	38.651153	0.000000	0.000000	0.000001	0.000000	0.000000																																																																																																															-40.053010	
 5 	 20																																																																																								1.051236	28.984088	0.000000	0.000000	0.000001	0.000000	0.000000																																																																																																															-30.035325	
 5 	 21																																																																																								0.700427	19.311759	0.000000	0.000000	0.000000	0.000000	0.000000																																																																																																															-20.012186	
 5 	 22																																																																																								0.448655	12.370053	0.000000	0.000000	0.000000	0.000000	0.000000																																																																																																															-12.818709	
 5 	 23																																																																																								0.280409	7.731283	0.000000	0.000000	0.000000	0.000000	0.000000																																																																																																															-8.011693	
 5 	 24																																																																																								0.112164	3.092513	0.000000	0.000000	0.000000	0.000000	0.000000																																																																																																															-3.204677	
 6 	 1																																																																																								0.070043	1.931176	0.000000	0.000000	0.000000	0.000000	0.000000																																																																																																															-2.001219	
 6 	 2																																																																																								0.028041	0.773128	0.000000	0.000000	0.000000	0.000000	0.000000																																																																																																															-0.801169	
 6 	 3																																																																																								0.013961	0.384919	0.000000	0.000000	0.000000	0.000000	0.000000																																																																																																															-0.398880	
 6 	 4																																																																																								0.168246	4.638770	0.000000	0.000000	0.000000	0.000000	0.000000																																																																																																															-4.807016	
 6 	 5																																																																																								0.448655	12.370053	0.000000	0.000000	0.000000	0.000000	0.000000																																																																																																															-12.818709	
 6 	 6																																																																																								1.121637	30.925133	0.000000	0.000000	0.000001	0.000000	0.000000																																																																																																															-32.046772	
 6 	 7																																																																																								2.172874	59.909221	0.000001	0.000000	0.000001	0.000000	0.000000																																																																																																															-62.082097	
 6 	 8																																																																																								1.892500	52.178925	0.000001	0.000000	0.000001	0.000000	0.000000																																																																																																															-54.071427	
 6 	 9																																																																																								1.752319	48.313941	0.000000	0.000000	0.000001	0.000000	0.000000																																																																																																															-50.066262	
 6 	 10																																																																																								1.962602	54.111745	0.000001	0.000000	0.000001	0.000000	0.000000																																																																																																															-56.074350	
 6 	 11																																																																																								2.242964	61.841713	0.000001	0.000000	0.000002	0.000000	0.000000																																																																																																															-64.084679	
 6 	 12																																																																																								2.467267	68.026081	0.000001	0.000000	0.000002	0.000000	0.000000																																																																																																															-70.493352	
 6 	 13																																																																																								2.242964	61.841713	0.000001	0.000000	0.000002	0.000000	0.000000																																																																																																															-64.084679	
 6 	 14																																																																																								2.271005	62.614841	0.000001	0.000000	0.000002	0.000000	0.000000																																																																																																															-64.885848	
 6 	 15																																																																																								2.551378	70.345137	0.000001	0.000000	0.000002	0.000000	0.000000																																																																																																															-72.896518	
 6 	 16																																																																																								2.663530	73.437322	0.000001	0.000000	0.000002	0.000000	0.000000																																																																																																															-76.100855	
 6 	 17																																																																																								2.663530	73.437322	0.000001	0.000000	0.000002	0.000000	0.000000																																																																																																															-76.100855	
 6 	 18																																																																																								1.962602	54.111745	0.000001	0.000000	0.000001	0.000000	0.000000																																																																																																															-56.074350	
 6 	 19																																																																																								1.401855	38.651153	0.000000	0.000000	0.000001	0.000000	0.000000																																																																																																															-40.053010	
 6 	 20																																																																																								1.051236	28.984088	0.000000	0.000000	0.000001	0.000000	0.000000																																																																																																															-30.035325	
 6 	 21																																																																																								0.700427	19.311759	0.000000	0.000000	0.000000	0.000000	0.000000																																																																																																															-20.012186	
 6 	 22																																																																																								0.448655	12.370053	0.000000	0.000000	0.000000	0.000000	0.000000																																																																																																															-12.818709	
 6 	 23																																																																																								0.280409	7.731283	0.000000	0.000000	0.000000	0.000000	0.000000																																																																																																															-8.011693	
 6 	 24																																																																																								0.112164	3.092513	0.000000	0.000000	0.000000	0.000000	0.000000																																																																																																															-3.204677	
 7 	 1																																																																																								0.070043	1.931176	0.000000	0.000000	0.000000	0.000000	0.000000																																																																																																															-2.001219	
