TECHNOLOGIES	 c_inv	 c_maint	 lifetime	  f_min	 f	 f_max	 fmin_perc	f_perc	 fmax_perc	 c_p	 c_p_max	 tau	 gwp_constr
 UNITS	[M€/GW]	 [M€/GW/y]	 [y]	 [GW or GWh]	 [GW or GWh]	 [GW or GWh]	 [0-1]	 [0-1]	 [0-1]	 [0-1]	 [0-1]	 [-]	 [ktCO2-eq./GW or GWh] 
NUCLEAR	23259.504022	494.064000	60.000000	4.800000	4.800000	7.200000	0.000000	0.043117	1.000000	0.843906	0.843906	0.025393	3397.824003
CCGT	0.003337	0.000085	25.000000	0.000000	0.000004	Infinity	0.000000	0.000000	1.000000	0.009113	0.850000	0.048263	0.000794
CCGT_AMMONIA	0.002146	0.000054	25.000000	0.000000	0.000003	Infinity	0.000000	0.000000	1.000000	0.002961	0.961538	0.048263	0.000511
IMPORTED_COAL_CENTRAL	0.000000	0.000000	35.000000	0.000000	0.000000	0.000000	0.000000	0.000000	1.000000	0.000000	0.868000	0.036934	0.000000
LOCAL_COAL_CENTRAL	0.007168	0.000108	35.000000	0.000000	0.000002	Infinity	0.000000	0.000000	1.000000	0.009720	0.856000	0.036934	0.000732
BIOMASS_TO_POWER	0.002667	0.000111	35.000000	0.000000	0.000002	Infinity	0.000000	0.000000	1.000000	0.003290	0.868000	0.036934	0.000527
PV_ROOFTOP	4423.650790	58.331353	25.000000	5.995000	5.995000	130.000000	0.000000	0.009699	1.000000	0.151998	1.000000	0.048263	12478.173526
PV_UTILITY	57392.285246	1442.507348	25.000000	0.000000	171.115937	1400.000000	0.000000	0.341686	1.000000	0.187596	1.000000	0.048263	356165.844605
PT_POWER_BLOCK	0.001244	0.000075	25.000000	0.000000	0.000001	Infinity	0.000000	0.000000	1.000000	0.000670	1.000000	0.048263	0.000000
ST_POWER_BLOCK	0.001031	0.000085	25.000000	0.000000	0.000001	Infinity	0.000000	0.000000	1.000000	0.000585	1.000000	0.048263	0.000000
WIND_ONSHORE	48479.999982	807.360000	30.000000	7.591000	48.000000	48.000000	0.000000	0.174320	1.000000	0.341187	1.000000	0.041639	29896.799989
WIND_OFFSHORE	83118.047648	3347.577598	30.000000	0.000000	66.210000	66.210000	0.000000	0.286488	1.000000	0.406508	1.000000	0.041639	41238.898474
HYDRO_DAM	83774.531067	418.802855	40.000000	15.677000	19.942993	19.943000	0.000000	0.075571	1.000000	0.356000	1.000000	0.033427	33761.094140
HYDRO_RIVER	64706.143947	646.943440	40.000000	12.826000	12.826000	16.317000	0.000000	0.058135	1.000000	0.425824	1.000000	0.033427	16196.929327
TIDAL	0.000000	0.000000	20.000000	0.000000	0.000000	0.000000	0.000000	0.000000	1.000000	0.000000	1.000000	0.058246	0.000000
WAVE	0.000000	0.000000	20.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	1.000000	0.058246	0.000000
GEOTHERMAL	8985.600684	170.724013	30.000000	1.200000	1.200000	4.200000	0.000000	0.010985	1.000000	0.860000	0.860000	0.041639	29914.910277
IND_COGEN_GAS	0.002236	0.000147	25.000000	0.000000	0.000002	Infinity	0.000000	0.000000	1.000000	0.004787	0.850000	0.048263	0.001627
IND_COGEN_WOOD	0.002447	0.000092	25.000000	0.000000	0.000002	Infinity	0.000000	0.000000	1.000000	0.004813	0.850000	0.048263	0.000374
